DNI,Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Nom Complet,Nascut_Espanya,Data_naixament,Edat_actual,Increment
33214782A,Matías,Rodríguez,Argentina,Buenos Aires,12,6,1950,,1107.75,No,Grup A,Matías Rodríguez,No,1950-06-12,75,0.05
90216535S,Martina,Rodríguez Gómez,Argentina,Buenos Aires,10,3,1978,Dona,1337.22,Sí,Grup B,Martina Rodríguez Gómez,No,1978-03-10,48,0.035
44215821L,Julieta,Rodríguez,Argentina,Buenos Aires,24,7,1979,Dona,1222.33,No,Grup B,Julieta Rodríguez,No,1979-07-24,46,0.035
83374173K,Florencia,Álvarez,Argentina,Buenos Aires,14,11,1961,Dona,1095.15,No,Grup A,Florencia Álvarez,No,1961-11-14,64,0.05
18876694Z,Juan,Álvarez Fernández,Argentina,Buenos Aires,11,8,1991,Home,1461.42,Sí,Grup B,Juan Álvarez Fernández,No,1991-08-11,34,0.035
71461971W,Lucas,Álvarez,Argentina,Buenos Aires,22,3,1984,Home,1728.45,No,Grup B,Lucas Álvarez,No,1984-03-22,42,0.035
26130098V,Lucas,Álvarez,Argentina,Buenos Aires,2,8,1978,Home,943.95,Sí,Grup A,Lucas Álvarez,No,1978-08-02,47,0.05
72582805W,Juan,Álvarez,Argentina,Buenos Aires,21,2,1968,Home,931.35,Sí,Grup A,Juan Álvarez,No,1968-02-21,58,0.05
49561814F,Tomás,Gómez,Argentina,Buenos Aires,3,10,1972,Home,1506.96,No,Grup B,Tomás Gómez,No,1972-10-03,53,0.035
30532432L,Matías,Rodríguez Gómez,Argentina,Buenos Aires,28,9,1957,Home,1514.2,Sí,Grup B,Matías Rodríguez Gómez,No,1957-09-28,68,0.035
76096673N,Lucía,Álvarez,Argentina,Buenos Aires,10,8,1972,Altres,1198.05,No,Grup A,Lucía Álvarez,No,1972-08-10,53,0.05
31385792P,Matías,Fernández,Argentina,Buenos Aires,28,4,1953,Home,1315.65,No,Grup A,Matías Fernández,No,1953-04-28,73,0.05
21674643A,Julieta,Fernández,Argentina,Buenos Aires,28,1,1961,Dona,1567.65,Sí,Grup A,Julieta Fernández,No,1961-01-28,65,0.05
23645745S,Martina,Gómez,Argentina,Buenos Aires,5,12,1963,Dona,1042.65,No,Grup A,Martina Gómez,No,1963-12-05,62,0.05
24894099R,Tomás,Rodríguez Fernández,Argentina,Còrdova,20,4,1986,Home,2635.68,Sí,Grup C,Tomás Rodríguez Fernández,No,1986-04-20,40,0.02
13327616P,Tomás,Fernández Álvarez,Argentina,Còrdova,8,9,1958,Home,2530.62,No,Grup C,Tomás Fernández Álvarez,No,1958-09-08,67,0.02
33939128K,Matías,Gómez Gómez,Argentina,Còrdova,18,8,2002,Home,2152.8,Sí,Grup B,Matías Gómez Gómez,No,2002-08-18,23,0.035
14889781M,Lucas,Álvarez Álvarez,Argentina,Còrdova,17,5,1981,Home,1978.92,Sí,Grup B,Lucas Álvarez Álvarez,No,1981-05-17,45,0.035
19313369G,Florencia,Rodríguez Álvarez,Argentina,Còrdova,27,11,1999,Dona,3255.12,No,Grup D,Florencia Rodríguez Álvarez,No,1999-11-27,26,0.08
89545864F,Tomás,Gómez,Argentina,Còrdova,19,1,1996,Home,1159.2,Sí,Grup A,Tomás Gómez,No,1996-01-19,30,0.05
61343247E,Florencia,Gómez,Argentina,Còrdova,8,7,1984,,1673.7,No,Grup A,Florencia Gómez,No,1984-07-08,41,0.05
72168409M,Lucas,Fernández Álvarez,Argentina,Còrdova,27,4,1993,Home,2061.72,Sí,Grup B,Lucas Fernández Álvarez,No,1993-04-27,33,0.035
35577350W,Juan,Gómez Gómez,Argentina,Còrdova,9,10,1994,Home,1718.7,Sí,Grup C,Juan Gómez Gómez,No,1994-10-09,31,0.02
19039929Q,Matías,Álvarez,Argentina,Còrdova,24,8,1954,Home,1745.01,Sí,Grup B,Matías Álvarez,No,1954-08-24,71,0.035
73118029L,Florencia,Gómez Fernández,Argentina,Còrdova,12,7,1992,Dona,1288.57,No,Grup B,Florencia Gómez Fernández,No,1992-07-12,33,0.035
57516393C,Lucía,Fernández Álvarez,Argentina,Còrdova,11,3,1973,Dona,718.2,Sí,Grup A,Lucía Fernández Álvarez,No,1973-03-11,53,0.05
25883422V,Tomás,Fernández Fernández,Argentina,Còrdova,13,6,1964,Home,1090.95,No,Grup A,Tomás Fernández Fernández,No,1964-06-13,61,0.05
23385179B,Florencia,Fernández,Argentina,Còrdova,14,10,1979,Dona,1251.31,No,Grup B,Florencia Fernández,No,1979-10-14,46,0.035
96617848Y,Valentina,Gutiérrez Castro,Colòmbia,Bogotà,2,1,2001,Altres,1117.2,No,Grup A,Valentina Gutiérrez Castro,No,2001-01-02,25,0.05
24213568B,Felipe,Torres,Colòmbia,Bogotà,19,3,1970,Home,1302.0,Sí,Grup A,Felipe Torres,No,1970-03-19,56,0.05
58619725P,Valentina,Castro,Colòmbia,Bogotà,2,9,1951,Dona,2648.94,Sí,Grup C,Valentina Castro,No,1951-09-02,74,0.02
18968118M,Felipe,Gutiérrez Torres,Colòmbia,Bogotà,25,10,2004,Home,1444.8,No,Grup A,Felipe Gutiérrez Torres,No,2004-10-25,21,0.05
69273831N,Sara,Gutiérrez,Colòmbia,Bogotà,26,2,1970,Dona,1959.26,No,Grup B,Sara Gutiérrez,No,1970-02-26,56,0.035
66171387W,Valentina,Rojas,Colòmbia,Bogotà,6,9,1959,Dona,1226.47,No,Grup B,Valentina Rojas,No,1959-09-06,66,0.035
21135917V,Valentina,Torres,Colòmbia,Bogotà,14,1,1968,Dona,2111.4,No,Grup B,Valentina Torres,No,1968-01-14,58,0.035
57512928A,Laura,Castro Gutiérrez,Colòmbia,Bogotà,18,2,1950,Dona,1044.75,No,Grup A,Laura Castro Gutiérrez,No,1950-02-18,76,0.05
75892043S,Sara,Gutiérrez,Colòmbia,Bogotà,12,6,1954,Dona,2709.12,Sí,Grup C,Sara Gutiérrez,No,1954-06-12,71,0.02
17523109M,Daniel,Gutiérrez Castro,Colòmbia,Bogotà,8,7,1951,Home,2694.84,No,Grup C,Daniel Gutiérrez Castro,No,1951-07-08,74,0.02
27395242L,Daniel,Castro Torres,Colòmbia,Bogotà,5,4,1992,Home,1060.5,Sí,Grup A,Daniel Castro Torres,No,1992-04-05,34,0.05
62035858J,Sara,Castro,Colòmbia,Bogotà,4,12,1974,Dona,1577.34,Sí,Grup B,Sara Castro,No,1974-12-04,51,0.035
52720140A,Daniel,Rojas Torres,Colòmbia,Bogotà,20,8,1985,Home,1529.85,Sí,Grup A,Daniel Rojas Torres,No,1985-08-20,40,0.05
43658248F,Daniela,Castro,Colòmbia,Bogotà,9,3,1980,Dona,1728.45,Sí,Grup B,Daniela Castro,No,1980-03-09,46,0.035
43195593E,Daniela,Castro,Colòmbia,Bogotà,5,2,1954,Dona,2070.6,Sí,Grup C,Daniela Castro,No,1954-02-05,72,0.02
45323039E,Andrés,Gutiérrez Rojas,Colòmbia,Bogotà,18,3,1986,Home,2738.7,No,Grup C,Andrés Gutiérrez Rojas,No,1986-03-18,40,0.02
39270256A,Santiago,Rojas,Colòmbia,Bogotà,5,4,1987,Home,870.45,No,Grup A,Santiago Rojas,No,1987-04-05,39,0.05
79942683D,Valentina,Torres Torres,Colòmbia,Medellín,24,7,1951,,1314.6,No,Grup A,Valentina Torres Torres,No,1951-07-24,74,0.05
34050427S,Daniela,Castro Castro,Colòmbia,Medellín,25,12,1980,Dona,1225.35,No,Grup A,Daniela Castro Castro,No,1980-12-25,45,0.05
28967396E,Daniel,Gutiérrez Castro,Colòmbia,Medellín,4,5,1976,Home,1506.96,No,Grup B,Daniel Gutiérrez Castro,No,1976-05-04,50,0.035
31682831V,Daniela,Torres,Colòmbia,Medellín,17,5,1970,Dona,1117.2,Sí,Grup A,Daniela Torres,No,1970-05-17,56,0.05
26819385K,Sara,Torres Castro,Colòmbia,Medellín,8,8,1987,Dona,1097.25,No,Grup A,Sara Torres Castro,No,1987-08-08,38,0.05
25654945Y,Andrés,Rojas Castro,Colòmbia,Medellín,20,9,1974,Home,2444.94,No,Grup C,Andrés Rojas Castro,No,1974-09-20,51,0.02
15387541Y,Andrés,Castro,Colòmbia,Medellín,8,3,2000,Altres,1045.8,No,Grup A,Andrés Castro,No,2000-03-08,26,0.05
17164182B,Sara,Torres Castro,Colòmbia,Medellín,25,2,1992,Dona,1380.69,Sí,Grup B,Sara Torres Castro,No,1992-02-25,34,0.035
87427498D,Laura,Rojas,Colòmbia,Medellín,9,5,1969,Dona,1037.4,No,Grup A,Laura Rojas,No,1969-05-09,57,0.05
54313717Q,Laura,Castro,Colòmbia,Medellín,19,6,1958,Dona,1558.2,No,Grup A,Laura Castro,No,1958-06-19,67,0.05
16349607A,Daniel,Rojas Castro,Colòmbia,Medellín,7,10,1952,Home,838.95,Sí,Grup A,Daniel Rojas Castro,No,1952-10-07,73,0.05
49287703B,Daniel,Castro,Colòmbia,Medellín,13,10,1956,Home,1267.35,Sí,Grup A,Daniel Castro,No,1956-10-13,69,0.05
78223675H,Santiago,Gutiérrez Torres,Colòmbia,Medellín,4,12,1959,Home,2316.33,Sí,Grup B,Santiago Gutiérrez Torres,No,1959-12-04,66,0.035
81398413Q,Laura,Castro Torres,Colòmbia,Medellín,6,6,1997,Dona,1488.33,No,Grup B,Laura Castro Torres,No,1997-06-06,28,0.035
18783620K,Andrés,Torres,Colòmbia,Medellín,13,1,1967,Home,1645.35,No,Grup A,Andrés Torres,No,1967-01-13,59,0.05
52982989C,Valentina,Castro Rojas,Colòmbia,Medellín,8,12,1986,Dona,857.85,Sí,Grup A,Valentina Castro Rojas,No,1986-12-08,39,0.05
96850216C,Valentina,Gutiérrez Rojas,Colòmbia,Medellín,2,10,1959,Dona,1788.48,Sí,Grup B,Valentina Gutiérrez Rojas,No,1959-10-02,66,0.035
67234434Y,Valentina,Torres,Colòmbia,Medellín,12,7,1981,Dona,901.95,Sí,Grup A,Valentina Torres,No,1981-07-12,44,0.05
21977779F,Valentina,Torres Rojas,Colòmbia,Medellín,22,10,1957,Dona,1491.44,No,Grup B,Valentina Torres Rojas,No,1957-10-22,68,0.035
49560214X,Felipe,Gutiérrez,Colòmbia,Medellín,13,11,1989,Home,1338.75,No,Grup A,Felipe Gutiérrez,No,1989-11-13,36,0.05
93060003K,Felipe,Gutiérrez,Colòmbia,Medellín,17,9,1953,Home,1199.1,Sí,Grup A,Felipe Gutiérrez,No,1953-09-17,72,0.05
27724652S,Clara,Sánchez Martínez,Espanya,Barcelona,18,3,1996,Dona,1315.65,Sí,Grup A,Clara Sánchez Martínez,Si,1996-03-18,30,0.05
69630528M,Toni,Sánchez García,Espanya,Barcelona,9,8,1999,Home,1095.15,No,Grup A,Toni Sánchez García,Si,1999-08-09,26,0.05
14219925Z,Toni,Martínez,Espanya,Barcelona,16,5,1964,Home,935.55,No,Grup A,Toni Martínez,Si,1964-05-16,62,0.05
40695825B,Oriol,Sánchez,Espanya,Barcelona,27,7,1965,Home,1312.5,No,Grup A,Oriol Sánchez,Si,1965-07-27,60,0.05
74222289K,Toni,Castells Romero,Espanya,Barcelona,13,4,1961,Home,1488.33,No,Grup B,Toni Castells Romero,Si,1961-04-13,65,0.035
13107162J,Núria,Castells,Espanya,Barcelona,2,7,2005,Dona,1411.2,Sí,Grup A,Núria Castells,Si,2005-07-02,20,0.05
29801291B,Toni,Castells Martínez,Espanya,Barcelona,10,1,1981,Home,2175.57,Sí,Grup B,Toni Castells Martínez,Si,1981-01-10,45,0.035
89977538X,Oriol,López Martínez,Espanya,Barcelona,25,6,1952,Home,1069.95,Sí,Grup A,Oriol López Martínez,Si,1952-06-25,73,0.05
59690898N,Oriol,López Ferrer,Espanya,Barcelona,3,11,1969,Home,1550.43,Sí,Grup B,Oriol López Ferrer,Si,1969-11-03,56,0.035
67466708W,Jordi,Romero,Espanya,Barcelona,27,8,1968,Home,848.4,No,Grup A,Jordi Romero,Si,1968-08-27,57,0.05
42754306Q,Toni,López Sánchez,Espanya,Barcelona,25,2,1975,Home,1039.5,No,Grup A,Toni López Sánchez,Si,1975-02-25,51,0.05
17393705Z,Joan,Castells,Espanya,Barcelona,10,12,1975,Home,1750.35,Sí,Grup A,Joan Castells,Si,1975-12-10,50,0.05
14944003P,Arnau,Sánchez López,Espanya,Barcelona,28,6,1960,Home,1171.8,No,Grup A,Arnau Sánchez López,Si,1960-06-28,65,0.05
80981912X,Eva,Martínez,Espanya,Barcelona,11,9,1974,Dona,822.15,No,Grup A,Eva Martínez,Si,1974-09-11,51,0.05
76740096F,Joan,Romero Romero,Espanya,Barcelona,21,2,1999,Home,1620.15,Sí,Grup A,Joan Romero Romero,Si,1999-02-21,27,0.05
42373200J,Anna,Sánchez,Espanya,Barcelona,17,7,1984,Altres,1509.9,Sí,Grup A,Anna Sánchez,Si,1984-07-17,41,0.05
25463106V,Núria,Ferrer,Espanya,Barcelona,18,4,1957,,1465.8,Sí,Grup A,Núria Ferrer,Si,1957-04-18,69,0.05
80887497Q,Toni,Ferrer,Espanya,Barcelona,12,4,1985,Home,2691.78,No,Grup C,Toni Ferrer,Si,1985-04-12,41,0.02
89652804F,Marc,Ferrer Castells,Espanya,Barcelona,25,8,2002,Home,1755.6,No,Grup A,Marc Ferrer Castells,Si,2002-08-25,23,0.05
85696755S,Marc,García,Espanya,Barcelona,23,7,1998,Home,1408.05,Sí,Grup A,Marc García,Si,1998-07-23,27,0.05
21762997G,Pau,Sánchez,Espanya,Barcelona,13,3,1962,Home,1524.55,No,Grup B,Pau Sánchez,Si,1962-03-13,64,0.035
53012171X,Laia,Sánchez Castells,Espanya,Barcelona,21,11,1970,Dona,2129.0,Sí,Grup B,Laia Sánchez Castells,Si,1970-11-21,55,0.035
63688361W,Joan,García,Espanya,Barcelona,24,12,1957,Home,1635.9,Sí,Grup A,Joan García,Si,1957-12-24,68,0.05
97566754L,Marc,Martínez Martínez,Espanya,Barcelona,6,4,2001,,1160.25,Sí,Grup A,Marc Martínez Martínez,Si,2001-04-06,25,0.05
27007812G,Toni,Romero,Espanya,Barcelona,9,12,1989,Home,1741.95,Sí,Grup A,Toni Romero,Si,1989-12-09,36,0.05
33484869X,Jordi,Sánchez,Espanya,Barcelona,6,6,1981,Home,2976.48,No,Grup D,Jordi Sánchez,Si,1981-06-06,44,0.08
96105165A,Marta,Martínez Castells,Espanya,Barcelona,16,7,1977,Dona,2501.04,Sí,Grup C,Marta Martínez Castells,Si,1977-07-16,48,0.02
85011730B,Oriol,García Castells,Espanya,Barcelona,18,6,1955,Home,1272.6,No,Grup A,Oriol García Castells,Si,1955-06-18,70,0.05
65912422Z,Carla,López,Espanya,Barcelona,18,7,1965,Dona,1216.95,Sí,Grup A,Carla López,Si,1965-07-18,60,0.05
21050694P,Toni,Sánchez,Espanya,Barcelona,1,1,1987,Home,1545.26,No,Grup B,Toni Sánchez,Si,1987-01-01,39,0.035
50776135C,Laia,Ferrer,Espanya,Barcelona,23,11,1972,Dona,987.0,No,Grup A,Laia Ferrer,Si,1972-11-23,53,0.05
20477181R,Anna,Castells García,Espanya,Barcelona,22,10,1952,Dona,732.9,No,Grup A,Anna Castells García,Si,1952-10-22,73,0.05
96251362T,Oriol,Ferrer Martínez,Espanya,Barcelona,26,7,1950,Home,1001.7,No,Grup A,Oriol Ferrer Martínez,Si,1950-07-26,75,0.05
21898585T,Jordi,Sánchez,Espanya,Barcelona,18,6,1981,Home,840.0,Sí,Grup A,Jordi Sánchez,Si,1981-06-18,44,0.05
93647831W,Jordi,Sánchez Martínez,Espanya,Barcelona,6,11,1998,Home,1149.75,No,Grup A,Jordi Sánchez Martínez,Si,1998-11-06,27,0.05
58136944R,Marta,Ferrer,Espanya,Barcelona,28,6,2001,Dona,1368.15,Sí,Grup A,Marta Ferrer,Si,2001-06-28,24,0.05
69900538Q,Núria,López Romero,Espanya,Barcelona,17,9,1957,Dona,1099.35,No,Grup A,Núria López Romero,Si,1957-09-17,68,0.05
97525504X,Laia,Martínez,Espanya,Barcelona,22,1,1951,Dona,1247.4,Sí,Grup A,Laia Martínez,Si,1951-01-22,75,0.05
94898766F,Joan,Romero,Espanya,Barcelona,26,4,1969,Altres,3429.0,No,Grup D,Joan Romero,Si,1969-04-26,57,0.08
60287803J,Pau,Ferrer,Espanya,Barcelona,15,3,1991,Home,1555.6,Sí,Grup B,Pau Ferrer,Si,1991-03-15,35,0.035
34349532Y,Marc,Ferrer Sánchez,Espanya,Barcelona,15,7,1977,Home,1757.7,No,Grup A,Marc Ferrer Sánchez,Si,1977-07-15,48,0.05
52037173E,Núria,García Martínez,Espanya,Barcelona,26,5,2005,Dona,1386.0,Sí,Grup A,Núria García Martínez,Si,2005-05-26,20,0.05
37325572G,Carla,López López,Espanya,Barcelona,7,3,1956,Dona,852.6,Sí,Grup A,Carla López López,Si,1956-03-07,70,0.05
21309247F,Oriol,García Ferrer,Espanya,Barcelona,9,12,2003,Home,1683.15,Sí,Grup A,Oriol García Ferrer,Si,2003-12-09,22,0.05
71124235C,Carla,Ferrer,Espanya,Barcelona,27,10,1987,Dona,877.8,No,Grup A,Carla Ferrer,Si,1987-10-27,38,0.05
14688639J,Toni,Castells Ferrer,Espanya,Barcelona,15,11,1974,,1904.4,No,Grup B,Toni Castells Ferrer,Si,1974-11-15,51,0.035
42839231P,Arnau,López Martínez,Espanya,Barcelona,15,11,1972,Home,1666.35,No,Grup A,Arnau López Martínez,Si,1972-11-15,53,0.05
56867791S,Marc,Castells Sánchez,Espanya,Barcelona,24,6,2000,Home,1446.93,No,Grup B,Marc Castells Sánchez,Si,2000-06-24,25,0.035
92774049Y,Oriol,Romero García,Espanya,Barcelona,5,9,1972,Home,1512.14,No,Grup B,Oriol Romero García,Si,1972-09-05,53,0.035
20520614Y,Núria,Ferrer,Espanya,Barcelona,9,6,1959,,2029.63,No,Grup B,Núria Ferrer,Si,1959-06-09,66,0.035
21786454M,Laia,Martínez,Espanya,Barcelona,11,2,1951,Dona,1371.3,No,Grup A,Laia Martínez,Si,1951-02-11,75,0.05
63679621R,Laia,Martínez Romero,Espanya,Barcelona,5,9,1958,Dona,1097.25,No,Grup A,Laia Martínez Romero,Si,1958-09-05,67,0.05
47660164G,Jordi,Romero Martínez,Espanya,Barcelona,11,6,1983,Home,2383.6,No,Grup B,Jordi Romero Martínez,Si,1983-06-11,42,0.035
80030295H,Carla,Romero López,Espanya,Barcelona,23,5,2002,Dona,814.8,Sí,Grup A,Carla Romero López,Si,2002-05-23,24,0.05
93244065C,Jordi,García Romero,Espanya,Barcelona,28,5,1952,Home,2597.94,Sí,Grup C,Jordi García Romero,Si,1952-05-28,74,0.02
26427399L,Pau,Castells,Espanya,Barcelona,22,1,1986,Home,2252.16,No,Grup C,Pau Castells,Si,1986-01-22,40,0.02
37774950Y,Carla,García,Espanya,Barcelona,25,10,1952,Dona,997.5,No,Grup A,Carla García,Si,1952-10-25,73,0.05
37655961A,Núria,García,Espanya,Barcelona,2,5,1989,Dona,1683.94,Sí,Grup B,Núria García,Si,1989-05-02,37,0.035
16112726L,Clara,Castells Romero,Espanya,Barcelona,4,1,1999,Dona,1461.6,Sí,Grup A,Clara Castells Romero,Si,1999-01-04,27,0.05
53518484J,Joan,Martínez,Espanya,Barcelona,14,9,1999,Home,2779.5,No,Grup C,Joan Martínez,Si,1999-09-14,26,0.02
68186758D,Carla,García,Espanya,Barcelona,6,10,2001,Dona,2030.67,Sí,Grup B,Carla García,Si,2001-10-06,24,0.035
66520712S,Pau,Castells,Espanya,Barcelona,1,7,1972,Home,1056.3,No,Grup A,Pau Castells,Si,1972-07-01,53,0.05
57892591M,Anna,Castells,Espanya,Barcelona,2,1,1951,Dona,964.95,No,Grup A,Anna Castells,Si,1951-01-02,75,0.05
59779704A,Clara,Romero López,Espanya,Barcelona,8,12,1985,Dona,1433.48,Sí,Grup B,Clara Romero López,Si,1985-12-08,40,0.035
45074340P,Núria,Ferrer,Espanya,Barcelona,27,10,1977,Dona,1179.15,No,Grup A,Núria Ferrer,Si,1977-10-27,48,0.05
19631537S,Laia,Ferrer,Espanya,Barcelona,21,12,1987,Dona,3051.0,Sí,Grup D,Laia Ferrer,Si,1987-12-21,38,0.08
97299170Q,Marta,Romero Ferrer,Espanya,Barcelona,7,2,1962,Dona,1382.76,Sí,Grup B,Marta Romero Ferrer,Si,1962-02-07,64,0.035
19356603P,Marta,Castells,Espanya,Barcelona,2,10,2003,Dona,2897.64,No,Grup D,Marta Castells,Si,2003-10-02,22,0.08
59909991M,Núria,Martínez,Espanya,Barcelona,19,6,1981,Dona,1977.78,No,Grup C,Núria Martínez,Si,1981-06-19,44,0.02
55213721K,Joan,López Ferrer,Espanya,Barcelona,21,6,1951,Home,2844.78,No,Grup C,Joan López Ferrer,Si,1951-06-21,74,0.02
34121407E,Arnau,López Sánchez,Espanya,Barcelona,22,5,1951,Home,1723.8,Sí,Grup C,Arnau López Sánchez,Si,1951-05-22,75,0.02
79349076S,Núria,Martínez Ferrer,Espanya,Barcelona,7,11,1991,Dona,1558.71,No,Grup B,Núria Martínez Ferrer,Si,1991-11-07,34,0.035
66268793B,Oriol,Castells,Espanya,Barcelona,8,7,1950,Home,2835.6,Sí,Grup C,Oriol Castells,Si,1950-07-08,75,0.02
18736805D,Laia,Romero,Espanya,Barcelona,17,4,1962,Dona,1796.22,No,Grup C,Laia Romero,Si,1962-04-17,64,0.02
50351415W,Núria,Ferrer,Espanya,Barcelona,19,9,2001,Dona,1187.14,Sí,Grup B,Núria Ferrer,Si,2001-09-19,24,0.035
63645871Q,Toni,López,Espanya,Barcelona,27,9,1979,,904.05,No,Grup A,Toni López,Si,1979-09-27,46,0.05
63487190Q,Laia,Castells López,Espanya,Barcelona,15,11,1969,Dona,1533.87,No,Grup B,Laia Castells López,Si,1969-11-15,56,0.035
89757860E,Eva,Castells Martínez,Espanya,Barcelona,15,7,1996,Dona,1417.95,Sí,Grup B,Eva Castells Martínez,Si,1996-07-15,29,0.035
15228560C,Jordi,Castells,Espanya,Barcelona,19,7,1978,Home,1618.05,No,Grup A,Jordi Castells,Si,1978-07-19,47,0.05
82418527A,Jordi,Ferrer,Espanya,Barcelona,28,6,2002,Home,1009.05,No,Grup A,Jordi Ferrer,Si,2002-06-28,23,0.05
18479670K,Pau,Castells,Espanya,Barcelona,14,9,1991,Home,1642.2,No,Grup A,Pau Castells,Si,1991-09-14,34,0.05
24238964E,Joan,Martínez Castells,Espanya,Barcelona,22,7,1987,Home,1223.25,No,Grup A,Joan Martínez Castells,Si,1987-07-22,38,0.05
46145725B,Toni,Ferrer,Espanya,Barcelona,24,8,1972,Home,1750.35,Sí,Grup A,Toni Ferrer,Si,1972-08-24,53,0.05
97294667E,Jordi,García,Espanya,Barcelona,3,1,1975,Home,1014.3,Sí,Grup A,Jordi García,Si,1975-01-03,51,0.05
53071392K,Oriol,Martínez,Espanya,Barcelona,9,7,2002,Home,2059.38,Sí,Grup C,Oriol Martínez,Si,2002-07-09,23,0.02
25439397A,Pau,Ferrer García,Espanya,Barcelona,21,3,1982,Home,1314.45,No,Grup B,Pau Ferrer García,Si,1982-03-21,44,0.035
19721783S,Núria,Ferrer,Espanya,Barcelona,7,12,1983,Dona,2032.74,No,Grup B,Núria Ferrer,Si,1983-12-07,42,0.035
99611153A,Arnau,Sánchez,Espanya,Barcelona,16,12,1998,Home,1506.75,No,Grup A,Arnau Sánchez,Si,1998-12-16,27,0.05
85693556P,Joan,Romero Martínez,Espanya,Barcelona,2,11,1973,Home,1623.3,Sí,Grup A,Joan Romero Martínez,Si,1973-11-02,52,0.05
