DNI,Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Nom Complet,Nascut_Espanya,Data_naixament,Edat_actual,Increment
15895974X,Núria,Ferrer,Espanya,Barcelona,10,4,1957,Dona,2413.32,No,Grup C,Núria Ferrer,Si,1957-04-10,69,0.02
75528612H,Núria,Martínez Sánchez,Espanya,Barcelona,23,7,1999,Dona,2228.7,Sí,Grup C,Núria Martínez Sánchez,Si,1999-07-23,26,0.02
47126739B,Carla,Ferrer,Espanya,Barcelona,17,12,1963,Dona,1966.56,Sí,Grup C,Carla Ferrer,Si,1963-12-17,62,0.02
36305607S,Jordi,Sánchez,Espanya,Barcelona,1,3,1976,Home,1796.22,No,Grup C,Jordi Sánchez,Si,1976-03-01,50,0.02
90082879P,Jordi,Martínez Sánchez,Espanya,Barcelona,12,12,1970,Home,2715.24,Sí,Grup C,Jordi Martínez Sánchez,Si,1970-12-12,55,0.02
59664001Z,Arnau,Martínez López,Espanya,Barcelona,5,9,1979,Home,2339.88,No,Grup C,Arnau Martínez López,Si,1979-09-05,46,0.02
80698214F,Joan,Romero,Espanya,Barcelona,8,1,1985,Home,2437.8,No,Grup C,Joan Romero,Si,1985-01-08,41,0.02
96487370W,Marc,Castells,Espanya,Barcelona,15,6,1952,Home,2659.14,Sí,Grup C,Marc Castells,Si,1952-06-15,73,0.02
92573413K,Toni,Castells,Espanya,Barcelona,20,10,1984,Home,1868.64,No,Grup C,Toni Castells,Si,1984-10-20,41,0.02
82947791W,Jordi,García,Espanya,Barcelona,23,5,1984,Home,1732.98,Sí,Grup C,Jordi García,Si,1984-05-23,42,0.02
96880751H,Marta,Martínez Martínez,Espanya,Bilbao,23,8,1995,,2047.14,No,Grup C,Marta Martínez Martínez,Si,1995-08-23,30,0.02
52684613F,Núria,Castells,Espanya,Bilbao,14,11,1960,,2856.0,Sí,Grup C,Núria Castells,Si,1960-11-14,65,0.02
90370999E,Marc,Sánchez López,Espanya,Bilbao,6,8,1990,Home,2026.74,No,Grup C,Marc Sánchez López,Si,1990-08-06,35,0.02
85738042R,Toni,García,Espanya,Bilbao,28,10,1998,Home,2768.28,Sí,Grup C,Toni García,Si,1998-10-28,27,0.02
25710763B,Eva,Castells García,Espanya,Bilbao,18,3,1993,Dona,2680.56,No,Grup C,Eva Castells García,Si,1993-03-18,33,0.02
12499600L,Pau,Ferrer López,Espanya,Bilbao,22,11,1960,Home,2621.4,Sí,Grup C,Pau Ferrer López,Si,1960-11-22,65,0.02
46969469J,Marc,Romero Romero,Espanya,Bilbao,8,8,1959,Home,2223.6,Sí,Grup C,Marc Romero Romero,Si,1959-08-08,66,0.02
59715366K,Oriol,Romero Sánchez,Espanya,Bilbao,6,2,1997,Home,2843.76,Sí,Grup C,Oriol Romero Sánchez,Si,1997-02-06,29,0.02
67320503B,Toni,López,Espanya,Bilbao,26,1,1998,Home,1899.24,No,Grup C,Toni López,Si,1998-01-26,28,0.02
28923859R,Eva,Sánchez Castells,Espanya,Bilbao,23,9,1987,Dona,2668.32,Sí,Grup C,Eva Sánchez Castells,Si,1987-09-23,38,0.02
59804478P,Núria,Martínez Ferrer,Espanya,Bilbao,27,3,1965,Dona,2338.86,No,Grup C,Núria Martínez Ferrer,Si,1965-03-27,61,0.02
52501105S,Marc,Castells,Espanya,Bilbao,11,9,1984,Home,1880.88,No,Grup C,Marc Castells,Si,1984-09-11,41,0.02
30932082P,Marta,López,Espanya,Bilbao,2,9,1954,Altres,1960.44,Sí,Grup C,Marta López,Si,1954-09-02,71,0.02
58004635G,Marc,Martínez Sánchez,Espanya,Bilbao,21,12,1965,Home,2291.94,Sí,Grup C,Marc Martínez Sánchez,Si,1965-12-21,60,0.02
84495908R,Toni,Sánchez Romero,Espanya,Bilbao,18,12,1952,Home,2074.68,No,Grup C,Toni Sánchez Romero,Si,1952-12-18,73,0.02
54990944C,Laia,Sánchez Romero,Espanya,Bilbao,4,12,1960,Dona,2101.2,Sí,Grup C,Laia Sánchez Romero,Si,1960-12-04,65,0.02
80122915D,Jordi,Romero García,Espanya,Bilbao,5,12,1978,Home,1986.96,Sí,Grup C,Jordi Romero García,Si,1978-12-05,47,0.02
65854367Q,Toni,López García,Espanya,Bilbao,23,2,1976,Home,2534.7,No,Grup C,Toni López García,Si,1976-02-23,50,0.02
99057187Q,Joan,Ferrer García,Espanya,Bilbao,5,5,1995,Home,2913.12,Sí,Grup C,Joan Ferrer García,Si,1995-05-05,31,0.02
78312427G,Toni,Romero Ferrer,Espanya,Bilbao,13,12,1970,Home,2392.92,No,Grup C,Toni Romero Ferrer,Si,1970-12-13,55,0.02
96250825S,Jordi,Castells López,Espanya,Bilbao,12,2,1961,Home,2407.2,Sí,Grup C,Jordi Castells López,Si,1961-02-12,65,0.02
37902729B,Joan,Romero García,Espanya,Bilbao,25,1,1954,Home,2056.32,No,Grup C,Joan Romero García,Si,1954-01-25,72,0.02
25564518R,Joan,López García,Espanya,Bilbao,21,11,1987,Home,2681.58,No,Grup C,Joan López García,Si,1987-11-21,38,0.02
88633819Y,Clara,Romero López,Espanya,Bilbao,11,1,1955,Altres,2418.42,Sí,Grup C,Clara Romero López,Si,1955-01-11,71,0.02
32306507M,Laia,López,Espanya,Madrid,11,7,1964,,2104.26,Sí,Grup C,Laia López,Si,1964-07-11,61,0.02
69153285Z,Pau,Sánchez,Espanya,Madrid,8,10,2001,Home,2132.82,No,Grup C,Pau Sánchez,Si,2001-10-08,24,0.02
41282325G,Marc,García,Espanya,Madrid,19,10,1955,Home,2219.52,Sí,Grup C,Marc García,Si,1955-10-19,70,0.02
82284855A,Pau,Romero Romero,Espanya,Madrid,6,12,1988,Home,2776.44,No,Grup C,Pau Romero Romero,Si,1988-12-06,37,0.02
60585845J,Arnau,Castells Castells,Espanya,Madrid,7,11,1963,Home,2200.14,No,Grup C,Arnau Castells Castells,Si,1963-11-07,62,0.02
98253101W,Arnau,Romero,Espanya,Madrid,26,6,1985,Home,2790.72,No,Grup C,Arnau Romero,Si,1985-06-26,40,0.02
76564295Y,Clara,Romero,Espanya,Madrid,5,12,1986,Dona,2593.86,No,Grup C,Clara Romero,Si,1986-12-05,39,0.02
86767469V,Eva,García Martínez,Espanya,Madrid,10,7,1965,Dona,2033.88,Sí,Grup C,Eva García Martínez,Si,1965-07-10,60,0.02
56070621Z,Marc,Castells,Espanya,Madrid,28,11,1976,Home,2261.34,No,Grup C,Marc Castells,Si,1976-11-28,49,0.02
37195438N,Carla,Romero,Espanya,Madrid,8,11,1991,Dona,2567.34,Sí,Grup C,Carla Romero,Si,1991-11-08,34,0.02
17966918Y,Arnau,Ferrer Sánchez,Espanya,Madrid,17,7,1964,Home,2357.22,No,Grup C,Arnau Ferrer Sánchez,Si,1964-07-17,61,0.02
27295557B,Laia,García García,Espanya,Madrid,8,12,1972,Dona,2269.5,Sí,Grup C,Laia García García,Si,1972-12-08,53,0.02
49180523M,Oriol,López Martínez,Espanya,Madrid,17,3,1978,Home,2328.66,Sí,Grup C,Oriol López Martínez,Si,1978-03-17,48,0.02
29661736H,Marta,López,Espanya,Madrid,16,7,2001,Dona,2002.26,Sí,Grup C,Marta López,Si,2001-07-16,24,0.02
80745485X,Pau,Sánchez Martínez,Espanya,Madrid,2,3,1981,Home,2560.2,Sí,Grup C,Pau Sánchez Martínez,Si,1981-03-02,45,0.02
22768293W,Jordi,López,Espanya,Madrid,27,4,1996,Home,2899.86,Sí,Grup C,Jordi López,Si,1996-04-27,30,0.02
19304110P,Arnau,García Romero,Espanya,Madrid,13,12,1970,Home,2362.32,No,Grup C,Arnau García Romero,Si,1970-12-13,55,0.02
23895788L,Marc,Castells,Espanya,Madrid,3,8,1978,Home,1778.88,No,Grup C,Marc Castells,Si,1978-08-03,47,0.02
87645157V,Joan,López,Espanya,Sevilla,13,10,1964,Home,2657.1,Sí,Grup C,Joan López,Si,1964-10-13,61,0.02
39421964W,Marta,Ferrer López,Espanya,Sevilla,19,7,1969,,2471.46,No,Grup C,Marta Ferrer López,Si,1969-07-19,56,0.02
13453262F,Clara,Martínez,Espanya,Sevilla,4,7,2001,Dona,2576.52,Sí,Grup C,Clara Martínez,Si,2001-07-04,24,0.02
85141625T,Clara,Ferrer,Espanya,Sevilla,21,12,1999,Altres,2440.86,Sí,Grup C,Clara Ferrer,Si,1999-12-21,26,0.02
33077646V,Eva,Martínez,Espanya,Sevilla,18,3,1986,Dona,1836.0,No,Grup C,Eva Martínez,Si,1986-03-18,40,0.02
42831725E,Arnau,Sánchez,Espanya,Sevilla,13,11,1967,Home,2110.38,No,Grup C,Arnau Sánchez,Si,1967-11-13,58,0.02
73661586C,Carla,Ferrer,Espanya,Sevilla,11,9,1955,Dona,2101.2,Sí,Grup C,Carla Ferrer,Si,1955-09-11,70,0.02
65882859J,Arnau,Martínez,Espanya,Sevilla,3,6,1962,Home,1880.88,Sí,Grup C,Arnau Martínez,Si,1962-06-03,64,0.02
98830242H,Carla,Sánchez,Espanya,Sevilla,2,1,1952,Dona,1821.72,No,Grup C,Carla Sánchez,Si,1952-01-02,74,0.02
82052269P,Eva,Romero Romero,Espanya,Sevilla,26,2,1954,Dona,1766.64,No,Grup C,Eva Romero Romero,Si,1954-02-26,72,0.02
72374089J,Joan,Martínez Romero,Espanya,Sevilla,20,4,1994,,1871.7,No,Grup C,Joan Martínez Romero,Si,1994-04-20,32,0.02
41260739H,Anna,Ferrer,Espanya,Sevilla,25,5,2000,Dona,2207.28,No,Grup C,Anna Ferrer,Si,2000-05-25,25,0.02
11962486C,Oriol,Sánchez,Espanya,Sevilla,27,2,1958,Home,2589.78,No,Grup C,Oriol Sánchez,Si,1958-02-27,68,0.02
63666276G,Joan,Romero,Espanya,Sevilla,10,11,1952,Home,1942.08,No,Grup C,Joan Romero,Si,1952-11-10,73,0.02
29356893J,Jordi,García,Espanya,Sevilla,13,6,1987,Home,2784.6,Sí,Grup C,Jordi García,Si,1987-06-13,38,0.02
76315436N,Joan,Martínez,Espanya,Sevilla,26,5,1976,Home,2873.34,No,Grup C,Joan Martínez,Si,1976-05-26,50,0.02
87416108F,Marta,Martínez Romero,Espanya,Sevilla,7,9,1955,Dona,2001.24,No,Grup C,Marta Martínez Romero,Si,1955-09-07,70,0.02
39025961G,Pau,Sánchez,Espanya,Sevilla,20,10,1953,Home,2820.3,No,Grup C,Pau Sánchez,Si,1953-10-20,72,0.02
20752389X,Eva,Romero,Espanya,Sevilla,16,11,1964,,1999.2,No,Grup C,Eva Romero,Si,1964-11-16,61,0.02
63445794B,Oriol,Romero Romero,Espanya,Sevilla,11,7,1964,Altres,1989.0,No,Grup C,Oriol Romero Romero,Si,1964-07-11,61,0.02
66120457F,Núria,Sánchez Romero,Espanya,Sevilla,9,1,1974,Dona,1939.02,No,Grup C,Núria Sánchez Romero,Si,1974-01-09,52,0.02
95216936L,Jordi,Castells,Espanya,Sevilla,14,12,1986,Altres,2304.18,Sí,Grup C,Jordi Castells,Si,1986-12-14,39,0.02
93349542M,Marc,Sánchez García,Espanya,Sevilla,4,3,1974,Altres,1643.22,Sí,Grup C,Marc Sánchez García,Si,1974-03-04,52,0.02
77573960D,Laia,Romero López,Espanya,Sevilla,23,6,2005,Dona,2407.2,No,Grup C,Laia Romero López,Si,2005-06-23,20,0.02
61151031X,Toni,Martínez,Espanya,València,12,9,1992,Home,2599.98,Sí,Grup C,Toni Martínez,Si,1992-09-12,33,0.02
35957209T,Pau,López Martínez,Espanya,València,1,1,1988,Home,2861.1,No,Grup C,Pau López Martínez,Si,1988-01-01,38,0.02
22972474K,Marta,Romero,Espanya,València,3,12,1958,Dona,1562.64,No,Grup C,Marta Romero,Si,1958-12-03,67,0.02
43764388P,Clara,Castells Castells,Espanya,València,15,8,1962,Dona,2372.52,Sí,Grup C,Clara Castells Castells,Si,1962-08-15,63,0.02
89805468T,Marc,García Ferrer,Espanya,València,21,5,1968,Home,2185.86,Sí,Grup C,Marc García Ferrer,Si,1968-05-21,58,0.02
59487847J,Carla,Sánchez Romero,Espanya,València,17,10,1959,Dona,2453.1,Sí,Grup C,Carla Sánchez Romero,Si,1959-10-17,66,0.02
35978728B,Jordi,García García,Espanya,València,18,6,1967,Home,2438.82,Sí,Grup C,Jordi García García,Si,1967-06-18,58,0.02
82680101W,Marc,Romero Ferrer,Espanya,València,22,9,1993,Home,1777.86,Sí,Grup C,Marc Romero Ferrer,Si,1993-09-22,32,0.02
44346665J,Laia,Romero Martínez,Espanya,València,18,7,1963,Altres,2089.98,No,Grup C,Laia Romero Martínez,Si,1963-07-18,62,0.02
76029605D,Carla,Ferrer García,Espanya,València,25,2,1970,Dona,2564.28,No,Grup C,Carla Ferrer García,Si,1970-02-25,56,0.02
15664344B,Pau,García,Espanya,València,1,3,2000,Home,2437.8,No,Grup C,Pau García,Si,2000-03-01,26,0.02
68222849D,Marta,López,Espanya,València,4,11,1971,Dona,2398.02,Sí,Grup C,Marta López,Si,1971-11-04,54,0.02
81908160Z,Toni,Martínez,Espanya,València,13,7,1978,Home,1966.56,Sí,Grup C,Toni Martínez,Si,1978-07-13,47,0.02
36744704Y,Carla,López López,Espanya,València,9,10,1970,Dona,2245.02,No,Grup C,Carla López López,Si,1970-10-09,55,0.02
62062006Z,Jordi,Romero,Espanya,València,1,1,1973,Home,2352.12,No,Grup C,Jordi Romero,Si,1973-01-01,53,0.02
55178117L,Marc,García Castells,Espanya,València,20,12,1983,Home,2970.24,Sí,Grup C,Marc García Castells,Si,1983-12-20,42,0.02
42807414J,Laia,Sánchez,Espanya,València,17,7,1967,Dona,2300.1,No,Grup C,Laia Sánchez,Si,1967-07-17,58,0.02
93040786Z,Élise,Dubois,França,Lió,4,12,1950,Dona,1907.4,No,Grup C,Élise Dubois,No,1950-12-04,75,0.02
56029646T,Camille,Girard Lefevre,França,Marsella,7,12,2003,Dona,2495.94,Sí,Grup C,Camille Girard Lefevre,No,2003-12-07,22,0.02
78532778V,Élise,Lefevre,França,París,7,11,1972,Dona,1729.92,Sí,Grup C,Élise Lefevre,No,1972-11-07,53,0.02
90836935Y,Élise,Moreau,França,París,9,10,1959,Dona,2149.14,Sí,Grup C,Élise Moreau,No,1959-10-09,66,0.02
32044922L,Gabriela,Ramírez González,Mèxic,Ciutat de Mèxic,7,5,1980,Dona,2403.12,No,Grup C,Gabriela Ramírez González,No,1980-05-07,46,0.02
94364172S,Andrés,Hernández Hernández,Mèxic,Ciutat de Mèxic,11,12,1983,Home,2215.44,No,Grup C,Andrés Hernández Hernández,No,1983-12-11,42,0.02
53037156T,José,Ramírez Hernández,Mèxic,Guadalajara,11,6,1966,Home,1967.58,No,Grup C,José Ramírez Hernández,No,1966-06-11,59,0.02
75949005H,María,Cruz,Mèxic,Guadalajara,27,1,1963,Dona,2461.26,No,Grup C,María Cruz,No,1963-01-27,63,0.02
25380605S,Luisa,Ramírez,Mèxic,Guadalajara,8,6,1984,Dona,1897.2,No,Grup C,Luisa Ramírez,No,1984-06-08,41,0.02
92210964M,Camila,Hernández,Mèxic,Guadalajara,26,9,1978,Dona,2340.9,Sí,Grup C,Camila Hernández,No,1978-09-26,47,0.02
59717596Z,Camila,Cruz Ramírez,Mèxic,Guadalajara,4,10,1994,Dona,1860.48,Sí,Grup C,Camila Cruz Ramírez,No,1994-10-04,31,0.02
23837247D,Miguel,Oliveira Pereira,Portugal,Lisboa,19,9,1978,Home,2293.98,No,Grup C,Miguel Oliveira Pereira,No,1978-09-19,47,0.02
22381649M,Inês,Silva,Portugal,Lisboa,28,2,1980,Dona,1589.16,Sí,Grup C,Inês Silva,No,1980-02-28,46,0.02
88420532P,Rui,Oliveira,Portugal,Lisboa,9,3,1951,Home,1931.88,No,Grup C,Rui Oliveira,No,1951-03-09,75,0.02
18647358J,Maria,Silva,Portugal,Porto,14,12,1991,Altres,2507.16,No,Grup C,Maria Silva,No,1991-12-14,34,0.02
30477300W,Sophie,Brown,Regne Unit,Londres,12,5,1956,Dona,1562.64,No,Grup C,Sophie Brown,No,1956-05-12,70,0.02
98761038G,Olivia,Jones Brown,Regne Unit,Londres,20,1,1965,Altres,2509.2,Sí,Grup C,Olivia Jones Brown,No,1965-01-20,61,0.02
58817861M,Isla,Brown Jones,Regne Unit,Londres,5,3,1954,Altres,2325.6,Sí,Grup C,Isla Brown Jones,No,1954-03-05,72,0.02
96612764F,Isla,Smith Brown,Regne Unit,Londres,24,9,1991,Dona,2212.38,Sí,Grup C,Isla Smith Brown,No,1991-09-24,34,0.02
74953524F,Sophie,Brown,Regne Unit,Londres,17,5,1983,Dona,2232.78,Sí,Grup C,Sophie Brown,No,1983-05-17,43,0.02
