DNI,Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Nom Complet,Nascut_Espanya,Data_naixament,Edat_actual,Increment
11062448Q,Marta,Martínez,Espanya,Barcelona,4,7,1980,Dona,1718.1,Sí,Grup B,Marta Martínez,Si,1980-07-04,45,0.035
17135791L,Toni,Romero García,Espanya,Barcelona,12,6,1963,Home,1653.93,No,Grup B,Toni Romero García,Si,1963-06-12,62,0.035
49846108N,Joan,Romero López,Espanya,Barcelona,11,1,1950,Home,2051.37,Sí,Grup B,Joan Romero López,Si,1950-01-11,76,0.035
32873655H,Pau,Martínez García,Espanya,Barcelona,15,11,1989,Home,2332.89,No,Grup B,Pau Martínez García,Si,1989-11-15,36,0.035
66192865D,Carla,Romero,Espanya,Barcelona,17,6,1998,Dona,1847.48,Sí,Grup B,Carla Romero,Si,1998-06-17,27,0.035
87203712F,Arnau,Martínez Sánchez,Espanya,Barcelona,20,6,1971,Home,1421.05,No,Grup B,Arnau Martínez Sánchez,Si,1971-06-20,54,0.035
41288932T,Carla,Castells,Espanya,Barcelona,24,10,1962,Dona,1291.68,Sí,Grup B,Carla Castells,Si,1962-10-24,63,0.035
70317853J,Núria,Romero,Espanya,Barcelona,24,12,1970,Dona,2006.86,No,Grup B,Núria Romero,Si,1970-12-24,55,0.035
25178167X,Laia,Sánchez,Espanya,Barcelona,27,1,1965,Dona,1941.66,Sí,Grup B,Laia Sánchez,Si,1965-01-27,61,0.035
65314666K,Marta,Sánchez Romero,Espanya,Barcelona,5,6,1993,Dona,1366.2,No,Grup B,Marta Sánchez Romero,Si,1993-06-05,32,0.035
98834273R,Pau,Romero Martínez,Espanya,Barcelona,16,9,1974,Home,1814.35,No,Grup B,Pau Romero Martínez,Si,1974-09-16,51,0.035
47702024A,Clara,García Ferrer,Espanya,Barcelona,10,10,1956,Dona,2055.51,No,Grup B,Clara García Ferrer,Si,1956-10-10,69,0.035
87991679M,Anna,Ferrer,Espanya,Barcelona,25,11,1967,Dona,1457.28,No,Grup B,Anna Ferrer,Si,1967-11-25,58,0.035
83539759S,Marta,López,Espanya,Barcelona,4,6,2002,Dona,1210.95,Sí,Grup B,Marta López,Si,2002-06-04,23,0.035
95031765F,Anna,López Sánchez,Espanya,Barcelona,19,9,1963,Dona,1494.54,Sí,Grup B,Anna López Sánchez,Si,1963-09-19,62,0.035
87757452L,Marc,Romero,Espanya,Barcelona,16,8,1986,Home,1721.2,No,Grup B,Marc Romero,Si,1986-08-16,39,0.035
92775120P,Joan,López Castells,Espanya,Barcelona,1,4,1984,,1609.42,Sí,Grup B,Joan López Castells,Si,1984-04-01,42,0.035
63182449W,Jordi,Romero,Espanya,Barcelona,12,12,1950,Home,2331.86,Sí,Grup B,Jordi Romero,Si,1950-12-12,75,0.035
51235097D,Oriol,Martínez López,Espanya,Barcelona,24,6,1980,Home,2136.24,No,Grup B,Oriol Martínez López,Si,1980-06-24,45,0.035
55212704B,Pau,Martínez Romero,Espanya,Barcelona,26,7,1986,Home,1799.86,No,Grup B,Pau Martínez Romero,Si,1986-07-26,39,0.035
23763581C,Arnau,García Ferrer,Espanya,Barcelona,1,6,1979,Home,1776.06,Sí,Grup B,Arnau García Ferrer,Si,1979-06-01,47,0.035
18457585L,Anna,Ferrer Sánchez,Espanya,Barcelona,25,8,1965,,1487.29,Sí,Grup B,Anna Ferrer Sánchez,Si,1965-08-25,60,0.035
12935907W,Pau,Ferrer García,Espanya,Barcelona,21,6,1990,Home,1510.06,Sí,Grup B,Pau Ferrer García,Si,1990-06-21,35,0.035
21159286B,Anna,García,Espanya,Barcelona,22,12,1999,Dona,1553.54,No,Grup B,Anna García,Si,1999-12-22,26,0.035
46192881X,Eva,Martínez López,Espanya,Barcelona,11,4,1958,Dona,1397.25,No,Grup B,Eva Martínez López,Si,1958-04-11,68,0.035
43630705N,Laia,Ferrer,Espanya,Barcelona,2,2,1953,Dona,1441.76,Sí,Grup B,Laia Ferrer,Si,1953-02-02,73,0.035
88020602R,Toni,Romero,Espanya,Barcelona,23,8,2001,Home,2263.54,No,Grup B,Toni Romero,Si,2001-08-23,24,0.035
17029292R,Marc,Romero Martínez,Espanya,Bilbao,4,7,1993,Home,2097.94,Sí,Grup B,Marc Romero Martínez,Si,1993-07-04,32,0.035
96482330F,Marc,Ferrer Ferrer,Espanya,Bilbao,20,3,1974,Home,1604.25,Sí,Grup B,Marc Ferrer Ferrer,Si,1974-03-20,52,0.035
17851044J,Pau,Ferrer,Espanya,Bilbao,25,4,1957,Home,1365.16,Sí,Grup B,Pau Ferrer,Si,1957-04-25,69,0.035
16587202X,Eva,López,Espanya,Bilbao,16,12,1974,Dona,2031.7,No,Grup B,Eva López,Si,1974-12-16,51,0.035
44988676P,Eva,Sánchez,Espanya,Bilbao,10,1,1977,Dona,1953.04,No,Grup B,Eva Sánchez,Si,1977-01-10,49,0.035
58904747N,Joan,Ferrer,Espanya,Bilbao,13,11,1994,Home,1574.24,No,Grup B,Joan Ferrer,Si,1994-11-13,31,0.035
90181637T,Núria,López,Espanya,Bilbao,1,1,1973,Dona,1725.34,Sí,Grup B,Núria López,Si,1973-01-01,53,0.035
41156735G,Toni,Castells,Espanya,Bilbao,7,6,1990,Home,1732.59,No,Grup B,Toni Castells,Si,1990-06-07,35,0.035
54585678Q,Pau,López Martínez,Espanya,Bilbao,22,5,1967,Home,2199.38,Sí,Grup B,Pau López Martínez,Si,1967-05-22,59,0.035
42625930X,Joan,Romero,Espanya,Bilbao,15,11,1987,Home,1581.48,No,Grup B,Joan Romero,Si,1987-11-15,38,0.035
44075059L,Oriol,Sánchez Sánchez,Espanya,Bilbao,17,3,2002,Home,1878.52,Sí,Grup B,Oriol Sánchez Sánchez,Si,2002-03-17,24,0.035
87744901Q,Toni,García,Espanya,Bilbao,20,9,1990,Home,1757.43,No,Grup B,Toni García,Si,1990-09-20,35,0.035
27292471C,Eva,García,Espanya,Bilbao,18,10,1962,,2209.72,No,Grup B,Eva García,Si,1962-10-18,63,0.035
51884150Q,Joan,Romero Sánchez,Espanya,Bilbao,24,7,1951,Home,1545.26,Sí,Grup B,Joan Romero Sánchez,Si,1951-07-24,74,0.035
65118360Z,Joan,Romero Martínez,Espanya,Bilbao,19,11,1954,Home,2164.18,No,Grup B,Joan Romero Martínez,Si,1954-11-19,71,0.035
24315095T,Toni,Ferrer,Espanya,Bilbao,24,2,1964,Altres,2214.9,No,Grup B,Toni Ferrer,Si,1964-02-24,62,0.035
14473175F,Oriol,Castells,Espanya,Bilbao,17,3,1965,Home,2299.77,No,Grup B,Oriol Castells,Si,1965-03-17,61,0.035
29753711H,Anna,Ferrer Castells,Espanya,Bilbao,18,8,1992,Dona,1363.09,Sí,Grup B,Anna Ferrer Castells,Si,1992-08-18,33,0.035
59372221S,Laia,Ferrer,Espanya,Bilbao,22,5,1978,Dona,1260.63,No,Grup B,Laia Ferrer,Si,1978-05-22,48,0.035
61477292C,Marta,Romero,Espanya,Bilbao,8,7,1978,Dona,1910.61,No,Grup B,Marta Romero,Si,1978-07-08,47,0.035
53457611N,Arnau,López López,Espanya,Bilbao,6,6,1991,Home,1430.37,No,Grup B,Arnau López López,Si,1991-06-06,34,0.035
35566470L,Carla,López Sánchez,Espanya,Bilbao,11,10,1961,Dona,1682.91,Sí,Grup B,Carla López Sánchez,Si,1961-10-11,64,0.035
93122931K,Toni,Ferrer,Espanya,Bilbao,5,9,1957,Home,1464.52,No,Grup B,Toni Ferrer,Si,1957-09-05,68,0.035
63960462M,Anna,Castells Martínez,Espanya,Bilbao,6,3,1959,Dona,1615.63,Sí,Grup B,Anna Castells Martínez,Si,1959-03-06,67,0.035
28171073A,Núria,Martínez Romero,Espanya,Bilbao,9,7,1965,Dona,1675.66,Sí,Grup B,Núria Martínez Romero,Si,1965-07-09,60,0.035
67537453P,Joan,Romero Martínez,Espanya,Bilbao,24,12,1985,Home,1825.74,No,Grup B,Joan Romero Martínez,Si,1985-12-24,40,0.035
50115394L,Arnau,Martínez,Espanya,Bilbao,25,4,1959,Home,1420.02,Sí,Grup B,Arnau Martínez,Si,1959-04-25,67,0.035
83561180C,Carla,López,Espanya,Bilbao,7,7,2003,Dona,1821.6,Sí,Grup B,Carla López,Si,2003-07-07,22,0.035
66590677S,Marta,García,Espanya,Bilbao,19,8,1950,Dona,1481.08,No,Grup B,Marta García,Si,1950-08-19,75,0.035
88571285P,Oriol,Castells,Espanya,Bilbao,13,4,1972,Home,1647.72,Sí,Grup B,Oriol Castells,Si,1972-04-13,54,0.035
44724403H,Toni,Ferrer,Espanya,Bilbao,20,2,1980,Home,1504.89,No,Grup B,Toni Ferrer,Si,1980-02-20,46,0.035
54525691Y,Laia,García Ferrer,Espanya,Bilbao,19,1,1970,Dona,1826.78,No,Grup B,Laia García Ferrer,Si,1970-01-19,56,0.035
23955973V,Eva,Ferrer Romero,Espanya,Bilbao,19,5,1976,Dona,1461.42,No,Grup B,Eva Ferrer Romero,Si,1976-05-19,50,0.035
76782023V,Anna,Castells García,Espanya,Bilbao,26,3,1950,Dona,1516.28,Sí,Grup B,Anna Castells García,Si,1950-03-26,76,0.035
87154578D,Toni,Martínez,Espanya,Bilbao,5,7,1973,Home,1700.5,Sí,Grup B,Toni Martínez,Si,1973-07-05,52,0.035
36717144Q,Jordi,Romero,Espanya,Bilbao,17,11,1969,Home,1405.53,No,Grup B,Jordi Romero,Si,1969-11-17,56,0.035
31675368R,Eva,López Martínez,Espanya,Bilbao,27,7,1998,Dona,1380.69,No,Grup B,Eva López Martínez,Si,1998-07-27,27,0.035
89450981Z,Laia,Castells,Espanya,Bilbao,20,11,2000,Dona,1757.43,Sí,Grup B,Laia Castells,Si,2000-11-20,25,0.035
15138029Q,Marc,Castells,Espanya,Bilbao,16,12,2002,Home,2206.62,No,Grup B,Marc Castells,Si,2002-12-16,23,0.035
78668978W,Pau,Sánchez,Espanya,Bilbao,20,5,1994,Home,2252.16,Sí,Grup B,Pau Sánchez,Si,1994-05-20,32,0.035
19814204M,Marta,García,Espanya,Bilbao,23,2,1999,Dona,1635.3,Sí,Grup B,Marta García,Si,1999-02-23,27,0.035
17792481K,Joan,Romero Martínez,Espanya,Bilbao,16,2,1996,Home,1913.72,No,Grup B,Joan Romero Martínez,Si,1996-02-16,30,0.035
83942911L,Oriol,Romero López,Espanya,Bilbao,3,5,1951,Home,2117.61,No,Grup B,Oriol Romero López,Si,1951-05-03,75,0.035
90364828E,Laia,Castells,Espanya,Bilbao,23,4,1998,Dona,1850.58,Sí,Grup B,Laia Castells,Si,1998-04-23,28,0.035
26631271T,Laia,Sánchez,Espanya,Bilbao,19,5,1970,Altres,2056.54,Sí,Grup B,Laia Sánchez,Si,1970-05-19,56,0.035
20049413F,Eva,López Ferrer,Espanya,Bilbao,24,12,1952,Dona,2086.56,No,Grup B,Eva López Ferrer,Si,1952-12-24,73,0.035
41625678H,Arnau,Romero,Espanya,Bilbao,18,11,1967,Home,1755.36,No,Grup B,Arnau Romero,Si,1967-11-18,58,0.035
15277702T,Toni,Castells,Espanya,Bilbao,25,7,1966,Home,2206.62,No,Grup B,Toni Castells,Si,1966-07-25,59,0.035
90958057L,Joan,Sánchez,Espanya,Bilbao,13,12,1974,Altres,1880.59,No,Grup B,Joan Sánchez,Si,1974-12-13,51,0.035
98801519G,Jordi,García,Espanya,Bilbao,11,1,1970,Home,1757.43,Sí,Grup B,Jordi García,Si,1970-01-11,56,0.035
32149349F,Marta,Romero,Espanya,Bilbao,25,7,1973,Dona,1887.84,No,Grup B,Marta Romero,Si,1973-07-25,52,0.035
72513763X,Núria,Romero López,Espanya,Bilbao,15,6,1999,,1693.26,Sí,Grup B,Núria Romero López,Si,1999-06-15,26,0.035
24881645Q,Toni,Sánchez,Espanya,Bilbao,26,9,1992,Home,1405.53,No,Grup B,Toni Sánchez,Si,1992-09-26,33,0.035
69079699D,Marc,Martínez,Espanya,Bilbao,7,7,1988,Home,2033.78,No,Grup B,Marc Martínez,Si,1988-07-07,37,0.035
11119181K,Arnau,Ferrer,Espanya,Bilbao,20,5,1961,Home,1392.07,No,Grup B,Arnau Ferrer,Si,1961-05-20,65,0.035
75347458Q,Toni,Martínez,Espanya,Bilbao,25,12,1974,Home,1398.28,No,Grup B,Toni Martínez,Si,1974-12-25,51,0.035
24140397D,Oriol,Sánchez,Espanya,Bilbao,11,9,1989,Home,2189.02,Sí,Grup B,Oriol Sánchez,Si,1989-09-11,36,0.035
12559305B,Núria,García Ferrer,Espanya,Bilbao,11,4,1982,Dona,1819.53,Sí,Grup B,Núria García Ferrer,Si,1982-04-11,44,0.035
22021087Z,Núria,García López,Espanya,Madrid,8,6,1969,Dona,1422.09,No,Grup B,Núria García López,Si,1969-06-08,57,0.035
90731738C,Pau,Martínez,Espanya,Madrid,17,8,1999,Home,2039.98,No,Grup B,Pau Martínez,Si,1999-08-17,26,0.035
45581974X,Núria,Romero,Espanya,Madrid,26,10,1993,Dona,1399.32,Sí,Grup B,Núria Romero,Si,1993-10-26,32,0.035
12763903J,Eva,Martínez,Espanya,Madrid,19,10,1974,,2085.52,No,Grup B,Eva Martínez,Si,1974-10-19,51,0.035
83703395A,Pau,Martínez,Espanya,Madrid,14,2,1959,Home,2173.5,No,Grup B,Pau Martínez,Si,1959-02-14,67,0.035
42823610D,Eva,Castells,Espanya,Madrid,9,7,1956,Dona,1727.42,Sí,Grup B,Eva Castells,Si,1956-07-09,69,0.035
33058070M,Marta,Romero García,Espanya,Madrid,11,5,1973,Dona,1996.52,No,Grup B,Marta Romero García,Si,1973-05-11,53,0.035
73563832M,Oriol,Ferrer Romero,Espanya,Madrid,9,2,1985,Home,2038.95,No,Grup B,Oriol Ferrer Romero,Si,1985-02-09,41,0.035
59071537P,Carla,Sánchez,Espanya,Madrid,2,7,1990,Dona,1575.27,Sí,Grup B,Carla Sánchez,Si,1990-07-02,35,0.035
62152209S,Laia,García,Espanya,Madrid,9,8,1991,Dona,1547.32,No,Grup B,Laia García,Si,1991-08-09,34,0.035
57378189F,Toni,López,Espanya,Madrid,12,10,1964,Home,1414.84,Sí,Grup B,Toni López,Si,1964-10-12,61,0.035
92922593Z,Arnau,López,Espanya,Madrid,4,4,1994,Altres,1866.1,No,Grup B,Arnau López,Si,1994-04-04,32,0.035
50292113M,Laia,López,Espanya,Madrid,21,4,1984,Dona,1220.26,Sí,Grup B,Laia López,Si,1984-04-21,42,0.035
50085415G,Joan,García,Espanya,Madrid,22,10,2000,Home,2139.34,No,Grup B,Joan García,Si,2000-10-22,25,0.035
53588164S,Jordi,Ferrer López,Espanya,Madrid,13,9,1955,Home,1750.18,Sí,Grup B,Jordi Ferrer López,Si,1955-09-13,70,0.035
97241617V,Marta,López Sánchez,Espanya,Madrid,17,5,1992,Dona,1936.48,Sí,Grup B,Marta López Sánchez,Si,1992-05-17,34,0.035
83461359C,Marc,Romero,Espanya,Madrid,2,8,1984,Home,1692.22,No,Grup B,Marc Romero,Si,1984-08-02,41,0.035
49562152B,Marta,Ferrer,Espanya,Madrid,25,5,1976,Dona,1989.27,No,Grup B,Marta Ferrer,Si,1976-05-25,50,0.035
39929911E,Eva,Castells Romero,Espanya,Madrid,24,1,1958,Altres,1974.78,No,Grup B,Eva Castells Romero,Si,1958-01-24,68,0.035
53653173V,Anna,López,Espanya,Madrid,17,1,1964,Altres,1348.6,No,Grup B,Anna López,Si,1964-01-17,62,0.035
46129359E,Laia,Castells Martínez,Espanya,Madrid,8,4,1975,Dona,1492.47,No,Grup B,Laia Castells Martínez,Si,1975-04-08,51,0.035
38832908L,Arnau,Martínez,Espanya,Madrid,20,12,1999,Home,2173.5,No,Grup B,Arnau Martínez,Si,1999-12-20,26,0.035
60352406T,Eva,Martínez,Espanya,Madrid,13,6,1994,Dona,1189.21,No,Grup B,Eva Martínez,Si,1994-06-13,31,0.035
48928716V,Eva,Ferrer,Espanya,Madrid,22,5,1997,Dona,1268.91,No,Grup B,Eva Ferrer,Si,1997-05-22,29,0.035
94864855F,Toni,Sánchez,Espanya,Madrid,6,3,1996,Home,2123.82,No,Grup B,Toni Sánchez,Si,1996-03-06,30,0.035
54906134P,Laia,López,Espanya,Madrid,15,10,1978,Dona,1497.64,Sí,Grup B,Laia López,Si,1978-10-15,47,0.035
48918423X,Arnau,Ferrer Romero,Espanya,Madrid,2,7,1975,Home,2272.86,No,Grup B,Arnau Ferrer Romero,Si,1975-07-02,50,0.035
16082109P,Clara,López,Espanya,Madrid,12,5,1989,Dona,1449.0,No,Grup B,Clara López,Si,1989-05-12,37,0.035
41326173T,Laia,Martínez,Espanya,Madrid,9,9,1977,Dona,2124.86,No,Grup B,Laia Martínez,Si,1977-09-09,48,0.035
99565242W,Joan,Sánchez Sánchez,Espanya,Madrid,28,7,2005,,1482.12,No,Grup B,Joan Sánchez Sánchez,Si,2005-07-28,20,0.035
40194783Y,Núria,Sánchez García,Espanya,Madrid,14,1,1966,Dona,2027.56,Sí,Grup B,Núria Sánchez García,Si,1966-01-14,60,0.035
90985453R,Pau,Ferrer,Espanya,Madrid,24,11,1997,Home,2300.8,No,Grup B,Pau Ferrer,Si,1997-11-24,28,0.035
89195587K,Carla,López Martínez,Espanya,Madrid,14,10,1962,Altres,1603.22,No,Grup B,Carla López Martínez,Si,1962-10-14,63,0.035
34370425H,Oriol,Ferrer,Espanya,Madrid,2,4,1974,Home,1370.34,Sí,Grup B,Oriol Ferrer,Si,1974-04-02,52,0.035
48597672J,Toni,Romero Romero,Espanya,Madrid,15,2,1984,Altres,1819.53,Sí,Grup B,Toni Romero Romero,Si,1984-02-15,42,0.035
13600054Y,Carla,Romero,Espanya,Madrid,18,3,1964,Dona,1736.73,Sí,Grup B,Carla Romero,Si,1964-03-18,62,0.035
47075714S,Marta,López,Espanya,Madrid,13,3,1999,Dona,1227.51,No,Grup B,Marta López,Si,1999-03-13,27,0.035
44074013Q,Toni,Sánchez,Espanya,Madrid,13,3,1976,,1777.09,Sí,Grup B,Toni Sánchez,Si,1976-03-13,50,0.035
60170471X,Toni,Martínez Castells,Espanya,Sevilla,20,4,1952,Altres,2203.52,No,Grup B,Toni Martínez Castells,Si,1952-04-20,74,0.035
33445957H,Eva,Ferrer Martínez,Espanya,Sevilla,4,5,1960,Dona,1470.74,No,Grup B,Eva Ferrer Martínez,Si,1960-05-04,66,0.035
89187959Z,Anna,Sánchez,Espanya,Sevilla,21,10,1955,Dona,1349.64,No,Grup B,Anna Sánchez,Si,1955-10-21,70,0.035
63852668M,Anna,Sánchez García,Espanya,Sevilla,13,7,1993,Dona,1502.82,No,Grup B,Anna Sánchez García,Si,1993-07-13,32,0.035
83165476Y,Núria,García Ferrer,Espanya,Sevilla,17,6,1957,Altres,1283.4,No,Grup B,Núria García Ferrer,Si,1957-06-17,68,0.035
24435321M,Marta,Castells Ferrer,Espanya,Sevilla,15,3,1981,Dona,1937.52,Sí,Grup B,Marta Castells Ferrer,Si,1981-03-15,45,0.035
28996393T,Oriol,Sánchez Martínez,Espanya,Sevilla,5,1,1981,Home,2008.94,No,Grup B,Oriol Sánchez Martínez,Si,1981-01-05,45,0.035
