id,user_id,iban,pan,pin,cvv,track1,track2,expiring_date,card_type,card_renewal_flag
CcU-3232,233,CA258476708027005452995175,5188 1243 7228 3277,2896,688,%B8505646511661282^GysvzejEqqjxl^58075922?2,%B4361892351770433=24028398?7,01/26/28,premium_credit,1
CcU-3239,232,CA506225804002232537070060,375218464485646,9547,702,%B8066214687634615^OehiifhZmcsqs^5204499803?4,%B2338361461828466=46026166825?1,11/25/28,debit,1
CcU-3246,231,CA421115370939484239605707,516153 4426684869,6641,318,%B8433817221137711^UdykspyMufsyy^46085981419?1,%B2383486112828523=12044482?6,01/26/28,credit,1
CcU-3253,230,CA172092524861063656324223,3774 685179 94338,4304,779,%B4687708115026558^DkveukkHoszsf^71024368914?1,%B2556333784219635=21105444?7,07/29/28,premium_credit,1
CcU-3260,229,CA376109052674417909800063,3787 654694 79443,7542,558,%B9337287983253315^PqbutbgWemund^60019317?2,%B8853683935456356=03127071216?1,03/25/28,credit,1
CcU-3267,228,CA659631718488773313352171,516836 8543385453,8444,501,%B8774686585611611^WbmlitqBvhmto^5608770864?6,%B7582518437494766=90048221745?8,07/27/28,debit,1
CcU-3274,227,CA554746568296921630555102,5191242916828483,6963,355,%B3522384022610138^MyqgzopPnrsau^9802135283?4,%B7651868374185594=7806435566?8,10/25/28,credit,1
CcU-3281,226,CA554994849539031926607607,453 96588 74883 221,9664,388,%B1579779380524750^YrfxkreIbpegx^5803270775?8,%B5132218188809446=44129237702?2,06/29/28,credit,1
CcU-3288,225,CA856549110877045194589092,347669879358478,5235,957,%B7202757458756504^DhvgecbTvvtso^92047755?3,%B4971035880886883=5708373469?6,10/25/28,credit,1
CcU-3295,224,CA670645711222321852833766,5218 2833 5642 3285,6016,227,%B6341788671276086^ZmjxqygZobrqo^2008143932?5,%B8751185716171531=26053623135?1,01/27/28,debit,1
CcU-3302,223,CA813782698016160245882736,5363 8827 4698 5185,6691,847,%B6548673154494666^BgkkawfKsvexl^5809306720?6,%B2327973732357702=72114995?2,07/26/28,credit,1
CcU-3309,222,CA333886422883094793993886,371268842998970,7452,540,%B7231652502251767^VvpweycXufrxo^02083787810? ,%B2461429062997963=57119299088?9,07/27/28,credit,1
CcU-3316,221,CA722626432737929854421506,5223 3547 5234 2529,9892,480,%B8896417102936757^VnhdflwPuoxua^7410377172?8,%B7483379369384859=60052084385?3,06/26/28,prepaid,1
CcU-3323,220,CA523254604111892343349885,4716 5927 4626 2576,8319,860,%B3897618670151179^UreeswmSufikr^7710979677?6,%B6533767855669965=2004196305? ,01/28/28,debit,1
CcU-3330,219,CA823255187501368949109046,3426 166473 78887,1254,631,%B3831787816377204^TynvkbmEhbogz^0505772993?4,%B2738299479832127=59092915?3,10/25/28,debit,1
CcU-3337,218,CA893029333483880483431911,5526 8745 4379 5697,1497,842,%B9867441747275294^VgvubnbHdxpxn^0112366929?9,%B2240218651342312=01078046?4,06/28/28,debit,1
CcU-3344,217,CA219030328078603903210565,558282 528672 3529,5776,864,%B7482617783480901^HjkomixEfrfyq^9704709327?3,%B4824901639680953=7511520396?3,11/28/28,prepaid,1
CcU-3351,216,CA568040685158287679526394,374884327643662,6695,251,%B5872335421667273^HxznpudLobqih^0205518983?1,%B4278447342422748=26073285?8,02/27/28,prepaid,1
CcU-3358,215,CA232109559755066986738072,527947 395589 2842,8149,818,%B6752339510216910^KnxwfcuPxowjl^9711383788?6,%B4753865135037426=13101461415?2,03/27/28,debit,1
CcU-3365,214,CA852872174809241233808850,379272817627343,8133,544,%B9297376116274411^UmvggnlRipqwf^41041175885?6,%B7379790218638467=8602981744?5,05/28/28,credit,1
CcU-3372,213,CA240074791398256201966096,4716272885378349,1687,615,%B5131517728453576^NwpkpbcErsgrr^32087016501?2,%B4188946818145658=3812680141?9,05/26/28,debit,1
CcU-3379,212,CA215660947722635891152016,552 68987 43664 734,4899,738,%B2060750778248426^SycnbtnHohsil^89045746?8,%B6406417148827878=9404284538?3,11/26/28,debit,1
CcU-3386,211,CA687331002568487027835381,375233562287679,7448,433,%B5310605594141993^MmgbtjdSpymcj^98054237964?4,%B5295095558758785=44078786?3,01/25/28,debit,1
CcU-3393,210,CA567970950561878933707668,4338 849 61 6580,7375,763,%B3767361120135239^LnwkewsJxsbje^9106985955? ,%B6692703783112343=3005764544?2,02/27/28,credit,1
CcU-3400,209,CA669610064349959501235817,377471145232444,9482,780,%B9365436673032853^MjtmjmwBpzylg^98027724?7,%B3568079786742479=67112998?7,10/25/28,credit,1
CcU-3407,208,CA271798717228883674085229,524567 7675544688,6453,746,%B3201354922172583^FhtqlibOrruhb^8908276846?5,%B2382782968441017=76065781?6,06/25/28,debit,1
CcU-3414,207,CA268577868805798318872412,453928 528538 8655,6737,851,%B2678375443746302^VhtwkcxMfonti^0805178323?4,%B9171341445072367=3309528150?2,11/27/28,credit,1
CcU-3421,206,CA315568341534657597362088,4556742876247,3060,487,%B6628623057261452^OvhqjbbIabssk^7712834411? ,%B7495731166566787=22027893?7,03/28/28,debit,1
CcU-3428,205,CA349560209003664514685932,495148 173557 2886,9659,191,%B3123010395841971^SozfyoqLaldxf^03036463422?6,%B2151466644132584=84077337314?5,08/25/28,debit,1
CcU-3435,204,CA946742217072819850498563,348822148472492,9572,595,%B8114055465458318^NtilrxeRkjrrv^12054495519?4,%B2278848422615381=43089489?2,06/28/28,prepaid,1
CcU-3442,203,CA686128812801192929177718,453 27768 65882 270,7645,286,%B8327224258632241^UnucpvmFksdks^75072208?1,%B9722585332456618=8511793132?5,10/25/28,credit,1
CcU-3449,202,CA298158510246992893912424,376837365486897,5720,934,%B6496488245616756^OottbidNnehpy^5806976390?1,%B6656384177721252=7511444348?5,08/27/28,credit,1
CcU-3456,201,CA985738542443529066381026,3748 253331 42587,6168,581,%B6615563584179707^WgjkrevAwbyjn^28044255?3,%B6871516764500852=46103086141?8,03/26/28,debit,1
CcU-3463,200,GB342482040761846307025771,4485654846578,7658,260,%B5335456358287213^InmqbbjXvcisj^8103586557?7,%B6362905383324727=08089971811?8,01/25/28,premium_credit,1
CcU-3470,199,GB790969238508847678194725,346299466774779,7613,275,%B2418740408024788^VsxhfqpPozgav^4004113222?5,%B2593473887677756=28087816?9,02/28/28,credit,1
CcU-3477,198,GB432778725802175971567842,4024 007 19 5290,9147,416,%B2867811785182661^QqqkiroGmwkfj^4009877939?6,%B2731317231885858=27037828555?7,03/25/28,credit,1
CcU-3484,197,GB431270525274384377730139,5429842764757330,5536,285,%B1013933368897398^IqekixeYwdcyc^7202722418?2,%B6058063452682448=62011367085?5,06/29/28,credit,1
CcU-3491,196,GB248886302739917698145119,372752331656560,6110,183,%B7343119278215380^MhtwzeoZpccnm^8510202367?7,%B3737758760907151=6102867888?3,03/28/28,debit,1
CcU-3498,195,GB338329708387228238326509,371276755132362,9838,326,%B6724418678698728^LymcfchCcncqr^05107556248?8,%B6789634576656606=8602150829?4,05/28/28,debit,1
CcU-3505,194,GB893556443569908768293651,5347 8838 5513 8245,8682,179,%B8060241587016262^QzsktwtNpnbyu^56035497?5,%B3858688149813553=71127952? ,05/24/28,credit,1
CcU-3512,193,GB318679206718398271204309,526 14367 47427 870,9702,951,%B8412918170547219^RbctrjfDmjtwg^33109689074?5,%B9418658134253104=10043651996?4,09/26/28,prepaid,1
CcU-3519,192,GB141685741300515092817556,511276 848777 3886,7144,284,%B4410350028646272^HgnmzuaQfwnix^02046928?7,%B4768295201841769=66114419796?4,09/25/28,debit,1
CcU-3526,191,GB223573465339304764206234,513337 2217813834,5933,268,%B5717274367224252^MgzmvnnIyivtf^8608492697?6,%B2733560508671263=02128201? ,08/25/28,credit,1
CcU-3533,190,GB608290090116873129487289,443 99226 84354 893,7730,869,%B5364759121062764^UrugmijSuriaq^7109694442?3,%B4167493255237202=44045678?6,07/26/28,debit,1
CcU-3540,189,GB743351649555979397830206,511 33327 92698 731,8311,443,%B6115717266262828^OpgrlevSiidtq^88096962233?3,%B1651272536934888=2502361836?9,01/27/28,prepaid,1
CcU-3547,188,GB411046274447117899137139,491667 268693 3630,5033,568,%B4949624508751515^RfkjinoMebfzs^85065396387?5,%B6805663813448106=8412610599?5,01/28/28,debit,1
CcU-3554,187,GB461600136343385256673057,557849 466856 6869,7812,912,%B4214517533551376^KcbprpmUsxinf^87025958? ,%B7424524345767412=17078406032?8,05/24/28,debit,1
CcU-3561,186,GB373754892683992080184388,375757353392355,8154,222,%B5842671181348268^VwxdyjbMjknxf^6312335165?5,%B1839132511428220=66041111?3,03/25/28,prepaid,1
CcU-3568,185,GB989515515554640821957131,4916483397665390,2746,228,%B1747486311567228^QnhgulfTtgpmg^0103715208?5,%B5130165312832337=33124796076?6,03/26/28,credit,1
CcU-3575,184,GB411914460151395694754355,5171546679238191,4460,169,%B7752627814708621^PwqyoudCysrtd^9010553334?4,%B2172860994256526=3803204229?7,04/25/28,credit,1
CcU-3582,183,GB580056545284199620284623,448 57136 53842 361,9315,211,%B3971485758182714^PghazpvWjjbto^90112709575?1,%B6344752904448726=8303931291?8,07/26/28,credit,1
CcU-3589,182,GB653144159302896508805619,5547 2595 1345 8648,3357,269,%B4849183164926369^CdaepvoHvimjv^0808483858?9,%B6958369372461821=7308352452?5,10/25/28,credit,1
CcU-3596,181,GB432115652475167301361516,546793 9179522284,7783,788,%B8737606548474664^AdxtuovOijnmq^19034551292?5,%B7281388186848655=60102118569?9,11/25/28,debit,1
CcU-3603,180,GB593486723631958107002489,376495785724718,3355,862,%B8213382423731002^LokizaxHxtsxm^7601897652?6,%B6496785181978055=5802941418?4,01/25/28,debit,1
CcU-3610,179,GB517999188121565221147584,4556296895569,2949,337,%B4189755808555333^GfqgowuVyplmr^3607937218?4,%B5133227053543391=39088439266?3,01/26/28,debit,1
CcU-3617,178,GB384044415419759283267600,5541642144568453,8587,621,%B2193628536295295^EcdqbklNescgk^23017452387?3,%B9156593850768545=5510551717?4,11/25/28,debit,1
CcU-3624,177,GB652723962373833406880523,455626 9762898616,4283,227,%B4578738165421127^KedcsxrIyzyrk^5210562766?4,%B4173433946867178=71071437124?8,10/27/28,debit,1
CcU-3631,176,GB885091696207996970210429,341445795282738,5945,575,%B6050588765037496^DyfrecfKsqmff^8004534811?5,%B9615288631322540=87073349?2,09/27/28,credit,1
CcU-3638,175,GB535988518125141324569783,455677 668771 8786,1256,575,%B6712264633568681^VywxnfmYcvnpt^1405276359?8,%B1413173387957387=6508376502?8,10/25/28,credit,1
CcU-3645,174,GB851599744705985639085239,345444856288771,3688,415,%B9559712618102636^HzbqvoaHgwgol^73107984263?8,%B3149752822434615=62038713931?5,09/27/28,credit,1
CcU-3652,173,GB248344217989848312040061,453 98346 22735 456,7566,957,%B4896043756103563^BftbrgyQsulrz^3904289901?5,%B3472893144577105=9912843896?5,09/25/28,credit,1
CcU-3659,172,GB797922388485779633586447,518373 357275 7826,1706,437,%B2139468361455035^VwepoqiSnzqud^2905815416?7,%B7516498419279851=26041496?1,10/27/28,debit,1
CcU-3666,171,GB375019292115630563583939,4556 7844 3557 4824,4798,930,%B3084289588971881^MckkssdAwkroe^4605896361?5,%B3288133931561196=6108898192?9,08/25/28,debit,1
CcU-3673,170,GB169180447555302954904103,534184 7628924765,6865,733,%B9656202584055171^BsmsfgxVikdmy^98104268?1,%B8946933419657633=50113726642?4,11/24/28,credit,1
CcU-3680,169,GB228228630695242749951782,5426 4337 3314 6889,8556,690,%B4117962041553164^NjcyaeoLqgkbo^1409933936?6,%B8387758556663694=6109552473?5,11/25/28,credit,1
CcU-3687,168,GB467477246451745091385719,5534 7744 3362 9230,2688,857,%B6281637118852877^DxlisteLgrmjk^89062283?5,%B5443116355223372=57013411855?2,10/28/28,credit,1
CcU-3694,167,GB483908162136682659669486,542 54285 91467 261,3204,490,%B2320002452106841^VxslvyeBtmhkq^9007161657?4,%B8435353358092199=7703933141?4,01/26/28,premium_credit,1
CcU-3701,166,GB184749281239033871656345,5151 8299 6379 6361,7846,835,%B3851622643488683^FtioeebHwepkf^3003345713?1,%B6780236148500848=14095889?1,01/25/28,credit,1
CcU-3708,165,GB583485314775073106133901,5383428743855876,2311,277,%B6717222004873756^XkbhkjvNqjvdg^7906490839?1,%B4047278992744437=6405339190?5,01/27/28,debit,1
CcU-3715,164,GB817396915560011401523043,4532 634 73 5833,7294,780,%B8655738813648518^CwdmhvuDndwiu^0912165577?6,%B4892317536668636=6608862226?6,01/25/28,credit,1
CcU-3722,163,GB154048411984793133895954,4716688698622567,3785,295,%B8240864719714747^DjsswrrGrclxw^26097535?8,%B5332824474511706=4711722924?4,10/29/28,debit,1
CcU-3729,162,GB594573436953537271570589,402400 7128955884,8571,350,%B3815801168979956^YxcuneyQevnky^09037174106?7,%B8335388713237439=13071353776?4,03/25/28,credit,1
CcU-3736,161,GB835063858031538200884187,521 84328 88538 272,9593,777,%B9567173472771212^GdnoamlPldvfy^84036837?6,%B6340536258078673=0811944484?1,05/27/28,credit,1
CcU-3743,160,GB334363999847532501634901,345537652543545,9314,656,%B5526048787874257^PweoiqtSjfduy^0810634126?9,%B9415736377671711=14118904338?5,06/28/28,credit,1
CcU-3750,159,GB604274674726761759236205,5175965455218886,5633,429,%B8767722776433754^DpiurdiLiksun^1110849271?1,%B4603709725882339=0103319153?4,03/25/28,debit,1
CcU-3757,158,GB812533991336476987809248,491666 857248 5677,8557,789,%B5548438293545354^DtdstxbOjmvab^55095887?3,%B2546136462036384=2206743676?2,10/27/28,debit,1
CcU-3764,157,GB745344333101605312655775,535 23847 59612 247,6546,194,%B7633657814281284^GcmskueBnlmel^39021828? ,%B6313986872548687=5006703616?4,02/29/28,credit,1
CcU-3771,156,GB483655293487259029661265,493513 2859765811,6253,637,%B2313343826317820^EjqypalMnsdvo^56038977923?3,%B4414512857098263=0502269944?5,05/25/28,debit,1
CcU-3778,155,GB863986418688946429778512,343488771836851,9170,487,%B7128525682511621^ZdneyeuYuginh^35045641459?6,%B2258031125695063=28052276835?9,12/26/28,credit,1
CcU-3785,154,GB579501775215095868148685,5112727325633686,1755,987,%B8479681549428866^AumjvtaSjzpuh^25054676402?9,%B1076421423347997=49047296?6,08/25/28,credit,1
CcU-3792,153,GB720013865043482372284906,343236737828888,4715,132,%B4378188474084736^LucjlqaMqkibj^75024456? ,%B5143887777796148=2107774402?3,06/28/28,credit,1
CcU-3799,152,GB769806967570083259893846,4712967296877185,3394,153,%B2678356552582874^ZbuuenjReruxl^8309327357?4,%B1697626756337970=86013038?6,03/26/28,debit,1
CcU-3806,151,GB647588705332810923350013,4024007167557377,1657,873,%B7887612785711165^KyrfgjzNciwsr^5102168230? ,%B6048032751732838=1206970897?6,10/24/28,credit,1
CcU-3813,150,US724598085340674179698383,3721 543253 57141,3666,459,%B4707942223385736^VznjucjEixjpd^27039352?3,%B6894893274477547=09021428158?8,07/28/28,credit,1
CcU-3820,149,US802771119650106511176033,5237 8846 5276 4657,6211,176,%B7644468246343428^FvvticpPasvwc^2211572303?8,%B2338072594269332=5607449316?2,10/25/28,premium_credit,1
CcU-3827,148,US630301192755871508338240,491628 4555196727,3455,253,%B5272985556170790^CrxcdjjJpfvmr^32094845?7,%B4898288355167616=43095066737?4,07/25/28,credit,1
CcU-3834,147,US639591713281263520531694,4929753568393,6319,737,%B5068654544389264^NkkscynFxumen^96097359455?3,%B1891816163951777=94108414281?9,04/25/28,credit,1
CcU-3841,146,US795835604391116356819845,4716767637524,8884,391,%B2412361508483629^YwaxufdFgubqo^18065835323?1,%B2525772504887442=81109611546?7,02/25/28,credit,1
CcU-3848,145,US289667412857740568119041,3724 884241 65462,8885,530,%B8853600681628785^WldradjQibucx^6012510820?2,%B7968147213394861=75092083311?2,08/25/28,debit,1
CcU-3855,144,US618916297338260691585203,402400 7173189785,8304,626,%B2684766320740833^EytquhlLklwgr^5406254664?4,%B9775671628132628=10087412462?7,03/29/28,credit,1
CcU-3862,143,US796966185100033802271539,4024 007 11 4630,5069,794,%B2445625547822856^OcogchsYhxfsb^2611412670?3,%B6571122973213534=1907134862?3,10/27/28,debit,1
CcU-3869,142,US640205205471747933935388,448 56527 58385 670,6328,278,%B8493677573564285^VmuwpwnXyhfgg^0801213720?3,%B8050020023698373=15074506?4,09/27/28,credit,1
CcU-3876,141,US261294496770020097081868,547 25687 75283 521,4059,874,%B5448991898865323^XgekriiIvnumw^04021434?4,%B5692267516525260=74024999418?5,09/26/28,debit,1
CcU-3883,140,US248541170796642666122389,5293346436977121,5182,127,%B6827751712556348^DbxpuuqWlpfyl^79089448?4,%B6815328112443728=8101694641?7,07/26/28,credit,1
CcU-3890,139,US476630241699694950337106,3459 722445 78883,3581,181,%B7652925735402708^DkiwkgtFcjxjf^7511933152?3,%B2718253234514686=3006838762?4,12/26/28,debit,1
CcU-3897,138,US191180524763791645296610,553364 973385 8484,5510,320,%B1159256887773381^GxtcfboPmmnnv^71043466?6,%B6743763342447290=66059125?7,08/25/28,credit,1
CcU-3904,137,US772372512083561789141465,3448 483212 86718,5432,242,%B6312218017823727^LujsmntWlmbgi^3504903777?7,%B5993373308753874=51064707144?8,10/28/28,debit,1
CcU-3911,136,US396980268469634170126564,378578567864345,5551,365,%B3310560832827671^YqkcnzoOjcpkh^09036001276?3,%B4458623587123013=67072489?6,10/25/28,debit,1
CcU-3918,135,US359617522425178629391841,5567675343638684,5616,230,%B8075164763517864^XtqntcqWwgdtn^99114534?1,%B7836573341392606=18091736?4,03/27/28,credit,1
CcU-3925,134,US626023164079631615066339,448 56746 54875 257,6038,485,%B2502049982462232^BukkcjnPpbwmi^00059715?8,%B7651786285643734=69093465100?7,01/26/28,credit,1
CcU-3932,133,US178280636953376355013550,546 77862 58793 264,6111,868,%B1111862411881777^RtcgdigPxmcvf^9805422340?1,%B8849325663152186=9005309997?6,11/26/28,premium_credit,1
CcU-3939,132,US104979680551759894654532,549 36446 86553 362,1498,726,%B2382322888822610^KstwntfMzktlj^6905403369?5,%B8725834557374858=6603424592?4,05/28/28,credit,1
CcU-3946,131,US161878381089767089885313,4532 5355 8673 7332,9541,201,%B4323851741186260^WaylzsyDjlcoe^8602462247? ,%B6385642315733182=0102770390?7,12/27/28,credit,1
CcU-3953,130,US964234089938304824220118,4556 5568 8483 8623,5511,662,%B8247965803812207^KcjdoscIidmba^12056994926?1,%B7853433393518519=0308640708?5,04/26/28,credit,1
CcU-3960,129,US449108736223193927182399,4485 6453 7433 6648,9507,802,%B5559114675582584^GwfdsctEpbiss^3409594609?5,%B4262139945851884=52012513151?9,03/28/28,debit,1
CcU-3967,128,US463037512633476840355894,4627729464768,8446,662,%B5673113006053847^UwlegsgPjtopz^9505505707?7,%B2666673634590047=24043272313?7,06/28/28,credit,1
CcU-3974,127,US197542045552321767560943,512786 265851 7231,7779,355,%B7689111768823554^VvghcmjPwxtfm^80052273132?2,%B8606893327800320=7204606125?9,06/29/28,credit,1
CcU-3981,126,US117915224669066551222185,4916227354254973,8688,228,%B4448311601659268^XbitpobXvqyko^2407181850?1,%B7395689191756897=6510610406?5,09/29/28,debit,1
CcU-3988,125,US865527851022740364959318,529354 796597 4583,5062,646,%B8483713604008747^WbdncxyPmgwlk^5107175126?1,%B6784481367234043=33026953?6,07/28/28,debit,1
CcU-3995,124,US372560440390066262193926,543 68966 74594 655,7719,542,%B3278354168561734^XynosbkAoated^49035542618?8,%B8729241646751198=3312379175?5,12/27/28,credit,1
CcU-4002,123,US225174296147002265631190,345886217197283,3898,227,%B9637673628172854^HtkbazsSwudny^90016432340?6,%B7232699387346022=39118727?2,12/25/28,debit,1
CcU-4009,122,US729212642816955651428791,547689 878486 9655,4268,820,%B1163507051857888^AtlkbudUzhydw^4004656990?5,%B8845110293750447=8810832181?6,07/26/28,debit,1
CcU-4016,121,US183391626605377230916689,5587 6912 1246 7242,5703,258,%B4731888416848536^DxmtjtsSjkxsq^5406500622?6,%B4628786898167185=94088204101?1,07/25/28,premium_credit,1
CcU-4023,120,US517863353677719111343436,455644 7854383438,5475,149,%B9232428889144365^JtblsecEfjvtn^17051666?6,%B2403861357028164=81015253842?6,08/24/28,debit,1
CcU-4030,119,US630109925950546561068162,526462 632862 7750,2679,665,%B4536836573670010^RrmiibkNguclx^4412347940?2,%B2937163373212685=0209575469?5,08/25/28,credit,1
