id,name,surname,phone,email,birth_date,country,city,postal_code,address,signup_date,user_segment,income_band
38,Abra,Doyle,(367) 861-9621,augue.eu@outlook.edu,"Aug 22, 1986",United States,Los Angeles,90001,409-9169 Cubilia St.,2014-02-28,occasional,medium
39,Nyssa,Shaffer,1-899-494-4941,malesuada.fames@google.ca,"Jul 2, 1991",United States,Los Angeles,90001,4215 Libero Road,2014-01-06,family,medium
40,Astra,Alexander,1-877-546-5066,lectus.nullam.suscipit@google.org,"Mar 12, 1983",United States,San Jose,95101,P.O. Box 384,2013-04-23,family,medium
41,Uriel,Hebert,1-265-846-2455,donec@outlook.com,"Nov 30, 1981",United States,San Antonio,78201,670-5867 Eget Street,2014-10-06,frequent_shopper,medium
42,Lucy,Branch,(459) 164-9989,odio.etiam@aol.couk,"Oct 31, 1991",United States,Philadelphia,19101,134-848 Orci,2014-10-05,occasional,medium
43,Jayme,Chavez,(542) 568-7326,fusce.feugiat@outlook.com,"Jul 29, 1984",United States,San Jose,95101,8659 Enim. Rd.,2013-06-11,occasional,medium
44,Aquila,Haley,1-951-243-1892,tempus.risus@outlook.edu,"Jan 21, 1996",United States,San Diego,92101,Ap #197-7436 Neque. Road,2014-04-21,young_professional,high
45,Richard,O'donnell,1-275-844-6782,ac.nulla@outlook.org,"Oct 4, 1986",United States,Phoenix,85001,P.O. Box 333,2013-01-08,occasional,low
46,Alika,Valdez,(781) 178-0838,dapibus.gravida@yahoo.net,"Aug 8, 1990",United States,Chicago,60601,P.O. Box 580,2014-03-19,young_professional,medium
47,Herrod,Wright,(575) 645-3218,odio.auctor.vitae@yahoo.edu,"Nov 11, 1999",United States,Chicago,60601,8745 Elementum Road,2015-01-31,frequent_shopper,high
48,Patrick,Reyes,1-607-729-5993,conubia.nostra@icloud.com,"Jul 29, 1986",United States,San Jose,95101,1150 Etiam Av.,2014-09-01,young_professional,medium
49,Lev,Roth,1-685-331-7392,auctor.vitae.aliquet@yahoo.net,"Dec 3, 1981",United States,San Antonio,78201,P.O. Box 455,2015-03-14,young_professional,medium
50,Aretha,Chang,1-634-250-1977,suspendisse.aliquet.molestie@hotmail.edu,"May 11, 1998",United States,Houston,77001,491 Neque St.,2015-03-25,frequent_shopper,high
51,Lionel,Griffith,1-816-243-8788,ultricies.sem.magna@yahoo.org,"Apr 3, 1993",United States,New York,10001,P.O. Box 191,2013-06-14,family,low
52,Sheila,Sullivan,(426) 608-1653,arcu.vel@google.edu,"May 17, 1981",United States,Phoenix,85001,Ap #644-7695 Nec,2015-04-03,frequent_shopper,high
53,Lucas,Lloyd,(513) 819-9413,sagittis.duis.gravida@outlook.net,"Jun 20, 1980",United States,Los Angeles,90001,745-3814 Metus. Rd.,2015-02-14,young_professional,high
54,Emma,Park,(581) 468-8549,vel.turpis.aliquam@icloud.org,"May 27, 1991",United States,Chicago,60601,Ap #558-7250 Vivamus Rd.,2014-09-16,young_professional,medium
55,Barrett,Andrews,(573) 474-8979,ligula.consectetuer@protonmail.edu,"Nov 28, 1995",United States,Phoenix,85001,5363 Rhoncus Street,2014-12-01,young_professional,high
56,Odysseus,Frye,(236) 402-6048,sociis.natoque@outlook.org,"Feb 19, 1983",United States,San Antonio,78201,772-6878 Sociosqu Av.,2014-12-10,occasional,medium
57,Daquan,Kirk,1-748-565-9125,ultricies@hotmail.ca,"Dec 22, 1994",United States,San Diego,92101,5438 Odio. Avenue,2014-01-21,occasional,medium
58,Sandra,Owens,1-961-472-4829,eu.enim@icloud.ca,"Oct 14, 1980",United States,Los Angeles,90001,465-230 Ullamcorper,2014-06-16,family,medium
59,Heather,Bradshaw,1-535-845-1352,luctus.et@aol.couk,"Dec 4, 1984",United States,San Diego,92101,6641 Convallis St.,2015-01-04,frequent_shopper,medium
60,Roth,Cook,(122) 759-2618,ullamcorper.eu@icloud.edu,"Nov 23, 1996",United States,Los Angeles,90001,Ap #815-8102 Ante. St.,2014-05-15,frequent_shopper,very_high
61,Duncan,Romero,1-226-441-1416,ligula.aenean.euismod@hotmail.com,"Feb 4, 1990",United States,Houston,77001,267-173 Felis Rd.,2014-08-16,premium,high
62,Phyllis,Holt,1-806-654-1534,metus.vitae.velit@outlook.couk,"Jun 7, 1987",United States,New York,10001,Ap #111-6364 Libero. Rd.,2014-12-28,frequent_shopper,high
63,Beverly,Burt,(336) 263-4576,aliquam.enim@aol.edu,"Dec 12, 1996",United States,Philadelphia,19101,P.O. Box 632,2013-04-25,young_professional,medium
64,Irma,Whitehead,1-332-774-7232,mauris.quis@google.org,"Feb 14, 1988",United States,Philadelphia,19101,393-6189 Sem Ave,2013-08-25,occasional,medium
65,Yeo,Emerson,(473) 596-9486,lacinia.at.iaculis@aol.net,"Sep 26, 1993",United States,Philadelphia,19101,Ap #897-3426 Orci,2013-10-05,young_professional,high
66,Bert,Juarez,1-404-537-2914,pede.nec@outlook.net,"Sep 14, 1988",United States,Dallas,75201,757-6748 Placerat St.,2014-03-18,premium,high
67,Kenneth,Morrison,1-214-178-7152,elementum.sem.vitae@outlook.org,"Sep 10, 1981",United States,Chicago,60601,801-4640 Odio Rd.,2015-03-16,frequent_shopper,low
68,Whoopi,Ford,1-548-301-4313,enim.diam.vel@google.com,"Apr 30, 1979",United States,Los Angeles,90001,P.O. Box 312,2013-02-11,occasional,medium
69,Stone,Atkinson,1-751-189-8258,etiam@outlook.com,"Jan 31, 1993",United States,Philadelphia,19101,Ap #820-7449 Tellus Rd.,2013-01-17,family,medium
70,Debra,Farley,(377) 214-5814,non.justo@aol.com,"Jan 31, 1985",United States,Philadelphia,19101,P.O. Box 855,2014-08-11,occasional,medium
71,Emerson,Hess,1-342-775-1174,orci.tincidunt.adipiscing@icloud.ca,"May 12, 1984",United States,New York,10001,Ap #191-5633 Lectus Rd.,2013-01-27,young_professional,high
72,Jael,Robles,(267) 616-3375,lorem.eget.mollis@protonmail.net,"Jun 6, 1983",United States,San Antonio,78201,266 Dictum Avenue,2013-06-17,young_professional,medium
73,Warren,Christian,1-125-829-9354,malesuada.vel@icloud.ca,"Jan 12, 1993",United States,New York,10001,Ap #323-5264 Convallis Rd.,2014-03-31,frequent_shopper,medium
74,Zelenia,Good,1-971-397-7840,aenean@google.couk,"Sep 21, 1988",United States,Dallas,75201,176-5987 Sociis St.,2014-04-21,frequent_shopper,high
75,Colleen,Juarez,1-647-277-0329,sodales@yahoo.edu,"May 25, 1990",United States,Philadelphia,19101,919-2582 Et,2013-05-10,young_professional,low
76,Glenna,Gutierrez,(567) 428-5368,amet@outlook.couk,"Sep 25, 1990",United States,Chicago,60601,9288 Posuere St.,2015-03-30,young_professional,low
77,Jared,Compton,1-416-623-5165,vel.quam@outlook.net,"Jan 18, 1999",United States,San Antonio,78201,354-782 Tempor Ave,2013-01-29,student,medium
78,Camilla,Zimmerman,(403) 839-3861,enim@aol.com,"Nov 20, 1997",United States,San Antonio,78201,Ap #612-9307 Metus Av.,2014-05-27,frequent_shopper,very_high
79,Preston,Hubbard,(485) 611-5951,in.cursus.et@protonmail.com,"Aug 16, 2000",United States,San Diego,92101,P.O. Box 761,2015-01-14,student,medium
80,Sophia,Bradford,(795) 358-4243,eu@outlook.com,"Feb 10, 1985",United States,San Jose,95101,Ap #425-5343 Fermentum Rd.,2014-09-15,premium,very_high
81,Acton,Gallegos,1-784-875-8068,rhoncus.donec@yahoo.org,"Feb 6, 1989",United States,Chicago,60601,5613 Ut St.,2013-11-08,occasional,medium
82,Stacey,Moses,(768) 696-2845,ante.iaculis.nec@hotmail.edu,"Sep 7, 1985",United States,San Jose,95101,Ap #786-4555 Scelerisque Avenue,2013-05-28,frequent_shopper,low
83,Dana,Ware,1-997-209-1750,nisi.a@outlook.net,"Nov 29, 1979",United States,San Antonio,78201,Ap #801-3094 Nec Av.,2015-08-16,premium,very_high
84,Craig,Shepherd,1-817-268-8038,feugiat@protonmail.net,"Jul 21, 1997",United States,San Jose,95101,P.O. Box 629,2013-07-20,frequent_shopper,high
85,Dawn,Murray,1-818-547-6341,ante.dictum.mi@outlook.couk,"Dec 13, 1989",United States,San Antonio,78201,8209 Morbi Av.,2014-12-14,family,medium
86,Quintessa,Buckley,1-461-623-4184,justo.sit.amet@hotmail.ca,"Dec 16, 1987",United States,San Antonio,78201,572-4088 Tempor,2013-03-02,frequent_shopper,high
87,Camden,Carpenter,1-842-231-7504,enim.commodo@google.ca,"Aug 14, 1981",United States,San Diego,92101,5748 Amet Road,2013-02-08,occasional,low
88,Holmes,Ramsey,(913) 726-8674,id.erat@aol.net,"Jul 3, 1998",United States,San Antonio,78201,P.O. Box 359,2013-04-18,frequent_shopper,high
89,Lars,Mercado,1-561-562-1561,sem.vitae@aol.net,"Apr 27, 1991",United States,San Diego,92101,Ap #892-9811 Proin St.,2014-06-08,occasional,medium
90,Alika,Kinney,(625) 262-0063,parturient@hotmail.org,"Jan 3, 1996",United States,Phoenix,85001,P.O. Box 898,2013-01-17,premium,very_high
91,Serina,Carter,(852) 256-1633,tellus.id.nunc@icloud.com,"Feb 14, 1984",United States,San Antonio,78201,424-6510 Sit Street,2015-03-26,frequent_shopper,low
92,Lynn,Riddle,1-387-885-4057,vitae.aliquet@outlook.edu,"Sep 21, 1984",United States,San Jose,95101,P.O. Box 712,2013-12-05,young_professional,high
93,Kimberley,Avila,(614) 862-3520,magna.phasellus@outlook.com,"Apr 4, 1997",United States,San Antonio,78201,269-4732 Maecenas Street,2014-12-28,premium,high
94,Kim,Zimmerman,(406) 496-7968,sed.dictum@hotmail.couk,"Oct 7, 1981",United States,San Antonio,78201,Ap #274-5686 Nec Rd.,2013-07-19,family,medium
95,Chase,Ellis,(322) 137-3271,quisque.purus@hotmail.edu,"Dec 19, 2000",United States,Dallas,75201,1311 Accumsan Road,2014-10-17,frequent_shopper,high
96,Brennan,Wynn,(831) 607-3574,nullam.ut@yahoo.net,"Nov 1, 1988",United States,San Jose,95101,Ap #774-4981 Elementum Avenue,2014-06-22,young_professional,low
97,Joseph,Davidson,1-184-847-8256,mauris@outlook.net,"Jan 18, 1987",United States,Dallas,75201,P.O. Box 178,2014-12-12,premium,very_high
98,Cassandra,Ferguson,(594) 318-2465,eu@google.couk,"May 8, 1992",United States,San Jose,95101,497-7857 Eget,2013-03-27,premium,very_high
99,Reed,Rutledge,1-472-670-2236,facilisis.facilisis@outlook.net,"Feb 17, 1997",United States,Philadelphia,19101,225-6073 Magna Ave,2014-09-21,frequent_shopper,high
100,Melodie,Mclean,1-677-221-7152,risus.varius@google.ca,"Sep 15, 1989",United States,San Jose,95101,Ap #644-8492 Sagittis St.,2015-04-20,frequent_shopper,very_high
101,Sarah,Beck,(358) 691-4345,vitae.risus@aol.couk,"Apr 9, 1983",United States,Philadelphia,19101,665-9047 In,2014-08-17,frequent_shopper,high
102,Jasper,Landry,1-397-765-1118,consectetuer.euismod@aol.org,"Apr 16, 1982",United States,Philadelphia,19101,Ap #374-7325 Sodales Rd.,2014-02-06,young_professional,medium
103,Upton,Chavez,(227) 785-6484,euismod.est@aol.ca,"Mar 15, 1986",United States,Philadelphia,19101,1990 Vel,2014-06-10,occasional,medium
104,Martha,Barlow,(732) 326-5448,vulputate@hotmail.net,"Oct 29, 1988",United States,Los Angeles,90001,Ap #311-7103 In Avenue,2013-07-07,frequent_shopper,medium
105,Hashim,Rose,(858) 313-6727,urna@icloud.com,"Mar 28, 1983",United States,Los Angeles,90001,8034 Tortor,2013-06-20,young_professional,medium
106,Tanner,Valenzuela,1-346-421-3135,nascetur.ridiculus@google.net,"Apr 6, 1993",United States,Phoenix,85001,Ap #114-2616 Fusce Road,2013-12-30,young_professional,medium
107,Victor,Valencia,(239) 569-1938,non.enim@hotmail.couk,"May 1, 1998",United States,Chicago,60601,Ap #182-9926 At St.,2014-05-31,frequent_shopper,high
108,Germaine,Suarez,1-931-750-6983,risus@icloud.com,"Feb 1, 1984",United States,San Antonio,78201,Ap #383-1856 Mauris Avenue,2014-12-23,family,medium
109,Raven,Reynolds,(667) 453-9731,sed@aol.com,"Jul 11, 1986",United States,Phoenix,85001,P.O. Box 753,2016-02-06,occasional,medium
110,Neil,Powers,(864) 881-6737,nec.metus@aol.edu,"Sep 3, 1980",United States,Houston,77001,571-2024 Quam Avenue,2013-06-19,premium,very_high
111,Astra,Baldwin,1-643-565-3266,adipiscing.ligula.aenean@protonmail.net,"Jul 3, 1999",United States,San Antonio,78201,932-8297 Ac Ave,2015-02-20,young_professional,medium
112,Ryder,Cole,1-572-759-8544,nec.enim.nunc@protonmail.net,"Sep 4, 1990",United States,Houston,77001,Ap #286-4884 Arcu. Avenue,2015-01-09,occasional,low
113,Risa,Frost,1-712-488-5451,neque.pellentesque@outlook.org,"May 5, 1996",United States,Philadelphia,19101,Ap #678-785 Leo. Road,2013-01-29,frequent_shopper,high
114,Jasmine,Castro,1-512-143-0648,lorem@google.ca,"Jan 5, 1987",United States,San Jose,95101,9948 Dictum. Road,2013-09-02,young_professional,medium
115,Urielle,Holman,1-424-793-4354,leo@google.ca,"Oct 11, 1985",United States,Chicago,60601,268-1889 Adipiscing Rd.,2015-01-18,frequent_shopper,very_high
116,Sacha,Compton,(265) 342-4775,sed.dictum.proin@yahoo.org,"Sep 1, 1981",United States,Los Angeles,90001,Ap #722-5423 Velit. Road,2013-12-25,young_professional,medium
117,Halla,Pearson,(681) 698-7518,lacus.etiam@protonmail.couk,"Apr 19, 1994",United States,New York,10001,664-903 In,2014-11-20,family,low
118,Brooke,Jensen,(124) 739-9067,purus.mauris.a@icloud.ca,"Aug 23, 1981",United States,Phoenix,85001,P.O. Box 718,2014-11-01,young_professional,high
119,Damian,Mcgee,(712) 572-8735,neque.nullam@hotmail.edu,"Sep 20, 1988",United States,Dallas,75201,Ap #383-8201 Orci Street,2013-10-20,occasional,low
120,Solomon,Blake,1-814-753-4054,in.at.pede@hotmail.edu,"Feb 23, 1990",United States,Chicago,60601,469-4293 Aenean St.,2014-08-08,family,low
121,Ainsley,Herrera,1-380-341-6875,est.congue@hotmail.couk,"Mar 28, 1996",United States,Los Angeles,90001,779-913 Cras Rd.,2013-05-20,frequent_shopper,very_high
122,Desiree,Carey,(888) 429-3660,pellentesque.tellus.sem@protonmail.edu,"Sep 10, 1989",United States,San Jose,95101,P.O. Box 651,2014-01-15,frequent_shopper,medium
123,Dominique,Tillman,1-956-793-8208,vitae.dolor.donec@google.ca,"Sep 28, 1999",United States,Phoenix,85001,618-3352 Amet,2013-10-29,young_professional,medium
124,Walter,Larsen,(435) 652-7642,et.netus.et@yahoo.net,"Sep 15, 1979",United States,Houston,77001,Ap #946-1494 Mauris Rd.,2013-08-14,frequent_shopper,low
125,Celeste,Ellis,1-847-855-3441,dapibus.rutrum@yahoo.org,"Jan 29, 1994",United States,San Diego,92101,Ap #521-1005 Dolor Av.,2014-07-25,frequent_shopper,medium
126,Kim,Mooney,1-252-337-6661,sed.nec@google.org,"Nov 28, 2000",United States,New York,10001,377-2270 Ante St.,2013-11-06,student,medium
127,Ezra,Beard,(743) 567-0923,morbi.sit@google.com,"Apr 8, 1984",United States,San Antonio,78201,P.O. Box 783,2013-11-26,family,low
128,Lucas,Dawson,(404) 491-1122,in.consectetuer.ipsum@yahoo.com,"Sep 13, 1983",United States,Phoenix,85001,P.O. Box 926,2015-01-23,frequent_shopper,very_high
129,Amber,Blevins,(734) 712-6456,nunc@outlook.org,"Aug 14, 1979",United States,Los Angeles,90001,P.O. Box 878,2014-06-01,frequent_shopper,low
130,Oscar,Neal,1-923-222-4140,magna.nec@icloud.net,"Dec 29, 1983",United States,Los Angeles,90001,653 Posuere Road,2014-11-20,young_professional,medium
131,Hiram,Preston,(774) 220-4835,ridiculus.mus@yahoo.net,"Jan 14, 1996",United States,San Antonio,78201,P.O. Box 579,2015-01-23,family,low
132,Gisela,Johnston,(223) 563-2771,accumsan.sed@outlook.couk,"Jul 29, 1993",United States,New York,10001,489-8011 Faucibus Ave,2014-11-21,frequent_shopper,medium
133,Iona,Soto,1-249-240-5843,tristique.aliquet@protonmail.com,"Apr 15, 1998",United States,Houston,77001,Ap #327-9970 Sollicitudin St.,2013-01-03,frequent_shopper,high
134,Tiger,Davis,(571) 492-5568,nonummy.ut@hotmail.ca,"Apr 12, 1997",United States,San Diego,92101,P.O. Box 346,2013-04-30,frequent_shopper,high
135,Zahir,Swanson,(758) 354-1913,nam.ac@hotmail.couk,"Jan 12, 1991",United States,San Jose,95101,684 Sed Ave,2014-08-03,occasional,medium
136,Sonya,Hobbs,1-508-176-1405,quis.pede@aol.com,"Jan 8, 1981",United States,Philadelphia,19101,Ap #959-1231 Aliquam Road,2014-09-09,occasional,medium
137,Brody,Goodwin,1-789-944-8575,donec.felis@outlook.couk,"Apr 2, 1982",United States,Houston,77001,779-7842 Dolor Ave,2014-06-25,young_professional,high
138,Wesley,Bush,1-814-353-8532,fermentum.arcu@hotmail.com,"Feb 8, 1987",United States,San Jose,95101,270-4210 Et,2013-11-28,family,low
139,Walker,Gibson,1-935-527-2111,ipsum.primis@yahoo.edu,"Jan 20, 1980",United States,Phoenix,85001,P.O. Box 694,2014-06-21,occasional,medium
140,Oprah,Nicholson,(485) 970-9786,a@google.edu,"Sep 19, 1981",United States,San Antonio,78201,8543 Velit Av.,2013-05-04,occasional,medium
141,Clark,Hewitt,1-522-475-6115,et.malesuada@aol.couk,"Oct 20, 1997",United States,San Jose,95101,Ap #260-1064 Quisque St.,2013-06-25,occasional,medium
142,Wyatt,Morris,1-402-317-8621,consequat@google.org,"Oct 11, 1992",United States,Dallas,75201,P.O. Box 436,2013-11-12,frequent_shopper,low
143,Genevieve,Nolan,1-346-724-1579,quis@outlook.com,"Sep 3, 1990",United States,San Diego,92101,Ap #124-9427 Ante. Rd.,2014-08-16,frequent_shopper,low
144,Jeanette,Blanchard,1-287-355-3938,amet.dapibus@google.couk,"Jul 6, 1996",United States,Chicago,60601,Ap #529-6734 Ipsum Road,2013-11-14,frequent_shopper,medium
145,Ursula,Stewart,1-442-838-6756,commodo.auctor.velit@outlook.ca,"Feb 17, 1994",United States,Houston,77001,161-6225 Ac,2014-07-22,premium,high
146,Priscilla,Skinner,(468) 855-0771,laoreet.lectus@aol.edu,"Jul 31, 1980",United States,Philadelphia,19101,207-6998 At Ave,2013-10-16,young_professional,high
147,Brody,Talley,(307) 307-2751,metus.sit.amet@outlook.org,"Jun 13, 1991",United States,Houston,77001,469-5852 Tellus Street,2013-06-17,occasional,medium
148,Kerry,Adkins,(528) 872-1974,augue.eu.tempor@icloud.couk,"Mar 13, 1983",United States,Chicago,60601,Ap #422-4836 Nunc Rd.,2014-11-12,occasional,medium
149,Brock,Doyle,(265) 140-9567,cursus.a@aol.edu,"Feb 19, 1986",United States,Chicago,60601,Ap #172-5737 Lorem St.,2014-11-24,premium,high
150,Oleg,Coleman,1-131-139-5673,dis@outlook.edu,"Dec 2, 1981",United States,Chicago,60601,722-3056 Eu,2014-02-26,frequent_shopper,medium
201,Iola,Powers,018-139-4717,ante.blandit@outlook.edu,"Mar 20, 2000",Canada,Calgary,T1Y 0A1,154-5415 Auctor St.,2014-07-11,frequent_shopper,high
202,Maxwell,Holden,045-402-7693,donec@hotmail.edu,"Dec 2, 1986",Canada,Edmonton,T5A 0A1,Ap #880-6372 Ultrices. St.,2014-06-19,young_professional,low
203,Jarrod,Fields,010-741-8105,sit.amet@google.couk,"Jan 6, 1982",Canada,Quebec City,G1A 0A1,441-8969 Rhoncus Road,2013-03-23,young_professional,high
204,Emerson,Sharp,068-138-9383,ante.iaculis@outlook.ca,"Oct 15, 1994",Canada,Hamilton,L8E 0A1,517-6759 Ut,2014-06-08,occasional,low
205,Sonya,Mckee,041-151-9737,magna.phasellus.dolor@google.ca,"May 7, 1983",Canada,Calgary,T1Y 0A1,Ap #916-8051 A St.,2013-02-15,family,medium
206,Harper,Hart,030-656-1670,fringilla.donec@outlook.net,"Nov 17, 2000",Canada,Toronto,M5A 1A1,8588 Massa. Ave,2013-12-26,young_professional,medium
207,Yvonne,Hatfield,003-854-1445,magna.et.ipsum@google.edu,"Sep 22, 1981",Canada,Hamilton,L8E 0A1,Ap #636-8055 Egestas St.,2013-12-31,frequent_shopper,high
208,Burke,Graham,064-568-4454,vel@yahoo.org,"Feb 23, 1993",Canada,Toronto,M5A 1A1,Ap #983-6042 Amet Street,2014-02-18,family,low
209,Athena,Malone,027-280-8275,pellentesque.tincidunt@yahoo.ca,"Dec 14, 1991",Canada,Edmonton,T5A 0A1,Ap #388-8542 Est St.,2014-02-16,frequent_shopper,medium
210,Slade,Poole,084-771-1363,amet@icloud.com,"Feb 16, 2001",Canada,Kitchener,N2A 0A1,601-6142 Etiam St.,2013-10-05,frequent_shopper,very_high
211,Larissa,Carpenter,066-617-3711,congue@aol.org,"Jan 21, 1998",Canada,Ottawa,K1A 0A1,7285 Sed St.,2013-08-30,premium,very_high
212,Zeph,Schmidt,056-157-7412,vestibulum.lorem@hotmail.ca,"Apr 10, 1986",Canada,Kitchener,N2A 0A1,4756 Tempor Rd.,2014-06-08,young_professional,low
213,Blake,Strickland,067-339-3024,ac.libero.nec@yahoo.com,"Apr 15, 1983",Canada,Calgary,T1Y 0A1,P.O. Box 207,2014-12-06,occasional,low
214,Cleo,George,026-867-1198,pellentesque.habitant@outlook.net,"Dec 24, 1998",Canada,Edmonton,T5A 0A1,Ap #266-9424 Orci St.,2013-07-29,young_professional,high
215,Keegan,Watson,058-771-3718,interdum.enim.non@protonmail.edu,"May 2, 1996",Canada,Edmonton,T5A 0A1,270-2964 Aliquet Avenue,2013-10-12,young_professional,medium
